Date,Open,High,Low,Close,Adj Close,Volume
2015-08-13,0.245000,0.255000,0.215000,0.235000,0.235000,6266800
2015-08-14,0.240000,0.240000,0.215000,0.215000,0.215000,887000
2015-08-17,0.215000,0.220000,0.200000,0.200000,0.200000,522900
2015-08-18,0.191000,0.200000,0.190000,0.200000,0.200000,70400
2015-08-19,0.200000,0.200000,0.190000,0.198000,0.198000,167100
2015-08-20,0.195000,0.197000,0.155000,0.189000,0.189000,1739900
2015-08-21,0.175000,0.185000,0.169000,0.185000,0.185000,265400
2015-08-24,0.165000,0.165000,0.140000,0.147000,0.147000,197400
2015-08-25,0.140000,0.149000,0.140000,0.149000,0.149000,340600
2015-08-26,0.149000,0.160000,0.149000,0.160000,0.160000,61900
2015-08-27,0.159000,0.180000,0.158000,0.178000,0.178000,918700
2015-08-28,0.178000,0.180000,0.165000,0.165000,0.165000,243000
2015-08-31,0.165000,0.165000,0.165000,0.165000,0.165000,0
2015-09-01,0.151000,0.158000,0.150000,0.158000,0.158000,59900
2015-09-02,0.158000,0.166000,0.158000,0.166000,0.166000,70000
2015-09-03,0.166000,0.171000,0.166000,0.168000,0.168000,579100
2015-09-04,0.168000,0.168000,0.168000,0.168000,0.168000,71700
2015-09-07,0.164000,0.168000,0.155000,0.168000,0.168000,28000
2015-09-08,0.166000,0.172000,0.166000,0.172000,0.172000,74000
2015-09-09,0.170000,0.171000,0.168000,0.168000,0.168000,130200
2015-09-10,0.168000,0.170000,0.153000,0.153000,0.153000,404000
2015-09-14,0.163000,0.165000,0.160000,0.164000,0.164000,159700
2015-09-15,0.160000,0.167000,0.160000,0.160000,0.160000,30200
2015-09-16,0.158000,0.166000,0.158000,0.166000,0.166000,64300
2015-09-17,0.166000,0.166000,0.166000,0.166000,0.166000,0
2015-09-18,0.166000,0.166000,0.160000,0.160000,0.160000,301000
2015-09-21,0.166000,0.167000,0.166000,0.167000,0.167000,59700
2015-09-22,0.166000,0.166000,0.166000,0.166000,0.166000,11000
2015-09-23,0.163000,0.164000,0.163000,0.164000,0.164000,64300
2015-09-25,0.164000,0.164000,0.164000,0.164000,0.164000,0
2015-09-28,0.163000,0.164000,0.163000,0.164000,0.164000,356600
2015-09-29,0.161000,0.165000,0.155000,0.160000,0.160000,57200
2015-09-30,0.140000,0.164000,0.140000,0.164000,0.164000,22000
2015-10-01,0.164000,0.165000,0.164000,0.165000,0.165000,45000
2015-10-02,0.158000,0.168000,0.158000,0.164000,0.164000,51900
2015-10-05,0.167000,0.171000,0.167000,0.170000,0.170000,343800
2015-10-06,0.170000,0.170000,0.170000,0.170000,0.170000,0
2015-10-07,0.159000,0.162000,0.150000,0.162000,0.162000,47200
2015-10-08,0.162000,0.162000,0.162000,0.162000,0.162000,0
2015-10-09,0.162000,0.162000,0.162000,0.162000,0.162000,0
2015-10-12,0.166000,0.167000,0.166000,0.167000,0.167000,374100
2015-10-13,0.167000,0.167000,0.167000,0.167000,0.167000,0
2015-10-14,0.163000,0.164000,0.163000,0.164000,0.164000,50000
2015-10-15,0.164000,0.164000,0.164000,0.164000,0.164000,0
2015-10-16,0.164000,0.164000,0.164000,0.164000,0.164000,0
2015-10-19,0.164000,0.166000,0.159000,0.159000,0.159000,373300
2015-10-20,0.143000,0.159000,0.140000,0.159000,0.159000,34600
2015-10-21,0.159000,0.159000,0.159000,0.159000,0.159000,8000
2015-10-22,0.155000,0.168000,0.145000,0.164000,0.164000,382300
2015-10-23,0.164000,0.164000,0.164000,0.164000,0.164000,0
2015-10-26,0.162000,0.163000,0.162000,0.163000,0.163000,382700
2015-10-27,0.163000,0.163000,0.163000,0.163000,0.163000,0
2015-10-28,0.163000,0.163000,0.163000,0.163000,0.163000,0
2015-10-29,0.165000,0.165000,0.165000,0.165000,0.165000,69700
2015-10-30,0.165000,0.165000,0.165000,0.165000,0.165000,0
2015-11-02,0.161000,0.162000,0.140000,0.156000,0.156000,97300
2015-11-03,0.156000,0.156000,0.156000,0.156000,0.156000,0
2015-11-04,0.156000,0.156000,0.156000,0.156000,0.156000,0
2015-11-05,0.165000,0.170000,0.165000,0.170000,0.170000,69600
2015-11-06,0.170000,0.170000,0.170000,0.170000,0.170000,0
2015-11-09,0.162000,0.169000,0.162000,0.163000,0.163000,87200
2015-11-11,0.142000,0.159000,0.141000,0.159000,0.159000,5200
2015-11-12,0.142000,0.159000,0.140000,0.158000,0.158000,7400
2015-11-13,0.158000,0.158000,0.158000,0.158000,0.158000,0
2015-11-16,0.141000,0.168000,0.140000,0.168000,0.168000,45300
2015-11-17,0.168000,0.168000,0.168000,0.168000,0.168000,87500
2015-11-18,0.168000,0.168000,0.168000,0.168000,0.168000,0
2015-11-19,0.168000,0.168000,0.168000,0.168000,0.168000,0
2015-11-20,0.168000,0.168000,0.168000,0.168000,0.168000,0
2015-11-23,0.158000,0.158000,0.140000,0.158000,0.158000,87500
