Date,Open,High,Low,Close,Adj Close,Volume
2015-11-09,0.350000,0.395000,0.340000,0.340000,0.289387,77807200
2015-11-11,0.335000,0.335000,0.310000,0.320000,0.272364,18649300
2015-11-12,0.315000,0.315000,0.305000,0.315000,0.268108,4273300
2015-11-13,0.310000,0.330000,0.300000,0.330000,0.280875,12110600
2015-11-16,0.325000,0.340000,0.320000,0.335000,0.285131,9614800
2015-11-17,0.340000,0.340000,0.320000,0.320000,0.272364,6937200
2015-11-18,0.325000,0.325000,0.310000,0.310000,0.263852,5185100
2015-11-19,0.310000,0.385000,0.310000,0.385000,0.327688,49021600
2015-11-20,0.385000,0.405000,0.370000,0.370000,0.314921,46008200
2015-11-23,0.370000,0.375000,0.355000,0.360000,0.306409,8773700
2015-11-24,0.360000,0.370000,0.345000,0.365000,0.310665,6991700
2015-11-25,0.365000,0.395000,0.365000,0.390000,0.331943,25438900
2015-11-26,0.390000,0.395000,0.375000,0.375000,0.319176,6378600
2015-11-27,0.375000,0.375000,0.360000,0.370000,0.314921,6403200
2015-11-30,0.365000,0.415000,0.365000,0.395000,0.336199,39829200
2015-12-01,0.390000,0.420000,0.390000,0.405000,0.344710,20529100
2015-12-02,0.410000,0.410000,0.390000,0.390000,0.331943,8868000
2015-12-03,0.395000,0.430000,0.395000,0.430000,0.365989,25844800
2015-12-04,0.425000,0.440000,0.420000,0.425000,0.361733,19557200
2015-12-07,0.430000,0.435000,0.425000,0.430000,0.365989,6758200
2015-12-08,0.425000,0.425000,0.420000,0.425000,0.361733,5323900
2015-12-09,0.425000,0.430000,0.420000,0.420000,0.357477,3378600
2015-12-10,0.420000,0.420000,0.390000,0.395000,0.336199,12037900
2015-12-11,0.395000,0.395000,0.370000,0.370000,0.314921,12368300
2015-12-14,0.365000,0.385000,0.355000,0.380000,0.323432,7803900
2015-12-15,0.385000,0.395000,0.385000,0.385000,0.327688,6099300
2015-12-16,0.390000,0.395000,0.385000,0.385000,0.327688,4254500
2015-12-17,0.385000,0.385000,0.375000,0.380000,0.323432,3915100
2015-12-18,0.375000,0.380000,0.370000,0.375000,0.319176,2688000
2015-12-21,0.375000,0.410000,0.370000,0.405000,0.344710,13233100
2015-12-22,0.405000,0.415000,0.400000,0.405000,0.344710,7246100
2015-12-23,0.405000,0.415000,0.405000,0.405000,0.344710,3644800
2015-12-24,0.410000,0.410000,0.405000,0.410000,0.348966,3060900
2015-12-28,0.410000,0.440000,0.410000,0.425000,0.361733,15660600
2015-12-29,0.425000,0.435000,0.420000,0.420000,0.357477,4791200
2015-12-30,0.425000,0.430000,0.415000,0.425000,0.361733,3050700
2015-12-31,0.420000,0.435000,0.420000,0.435000,0.370245,3059000
2016-01-04,0.435000,0.435000,0.435000,0.435000,0.370245,0
2016-01-05,0.435000,0.435000,0.435000,0.435000,0.370245,0
2016-01-06,0.435000,0.435000,0.435000,0.435000,0.370245,0
2016-01-07,0.435000,0.435000,0.435000,0.435000,0.370245,0
2016-01-08,0.435000,0.435000,0.435000,0.435000,0.370245,0
2016-01-11,0.435000,0.435000,0.435000,0.435000,0.370245,0
2016-01-12,0.435000,0.435000,0.435000,0.435000,0.370245,0
2016-01-13,0.435000,0.435000,0.435000,0.435000,0.370245,0
2016-01-14,0.435000,0.435000,0.435000,0.435000,0.370245,0
2016-01-15,0.435000,0.435000,0.435000,0.435000,0.370245,0
2016-01-18,0.435000,0.435000,0.435000,0.435000,0.370245,0
2016-01-19,0.435000,0.435000,0.435000,0.435000,0.370245,0
2016-01-20,0.435000,0.435000,0.435000,0.435000,0.370245,0
2016-01-21,0.465000,0.475000,0.450000,0.460000,0.391523,10087500
2016-01-22,0.470000,0.480000,0.465000,0.470000,0.400034,14919100
2016-01-25,0.475000,0.480000,0.455000,0.460000,0.391523,8243800
2016-01-26,0.460000,0.460000,0.450000,0.455000,0.387267,4204200
2016-01-27,0.460000,0.465000,0.455000,0.455000,0.387267,3507900
2016-01-28,0.455000,0.460000,0.435000,0.445000,0.378756,9094500
2016-01-29,0.440000,0.450000,0.420000,0.445000,0.378756,6270200
2016-02-01,0.450000,0.450000,0.430000,0.430000,0.365989,3108300
2016-02-02,0.430000,0.430000,0.425000,0.430000,0.365989,1925900
2016-02-03,0.425000,0.430000,0.420000,0.425000,0.361733,1647800
2016-02-04,0.430000,0.445000,0.425000,0.435000,0.370245,6013000
2016-02-05,0.440000,0.450000,0.440000,0.445000,0.378756,6531900
2016-02-10,0.440000,0.445000,0.435000,0.440000,0.374500,1626500
2016-02-11,0.435000,0.440000,0.425000,0.430000,0.365989,1800800
2016-02-12,0.430000,0.430000,0.425000,0.425000,0.361733,2049300
2016-02-15,0.430000,0.435000,0.425000,0.425000,0.361733,2130100
2016-02-16,0.430000,0.445000,0.430000,0.435000,0.370245,4793400
2016-02-17,0.440000,0.440000,0.425000,0.425000,0.361733,2412000
2016-02-18,0.435000,0.440000,0.435000,0.435000,0.370245,3028500
2016-02-19,0.430000,0.440000,0.430000,0.435000,0.370245,1206800
2016-02-22,0.440000,0.445000,0.435000,0.435000,0.370245,1541900
2016-02-23,0.440000,0.460000,0.440000,0.450000,0.383012,9825000
2016-02-24,0.450000,0.455000,0.440000,0.445000,0.378756,3672600
2016-02-25,0.445000,0.450000,0.435000,0.440000,0.374500,1691400
