Date,Open,High,Low,Close,Adj Close,Volume
2000-04-14,2.249988,2.774986,2.249988,2.624986,0.816561,2132277
2000-04-17,2.249988,2.324988,2.174989,2.324988,0.723240,278734
2000-04-18,2.324988,2.399988,2.174989,2.249988,0.699910,115067
2000-04-19,2.249988,2.324988,2.099989,2.174989,0.676580,200534
2000-04-20,2.174989,2.174989,1.949990,2.099989,0.653249,260867
2000-04-21,2.099989,2.099989,2.099989,2.099989,0.653249,0
2000-04-24,2.099989,2.099989,1.949990,2.099989,0.653249,92333
2000-04-25,2.024989,2.174989,2.024989,2.099989,0.653249,111600
2000-04-26,2.174989,2.249988,2.099989,2.174989,0.676580,50400
2000-04-27,2.099989,2.324988,2.099989,2.249988,0.699910,143200
2000-04-28,2.174989,2.249988,2.174989,2.249988,0.699910,23266
2000-05-01,2.249988,2.249988,2.249988,2.249988,0.699910,0
2000-05-02,2.249988,2.324988,2.174989,2.324988,0.723240,96533
2000-05-03,2.249988,2.549987,2.249988,2.324988,0.723240,318334
2000-05-04,2.249988,2.324988,2.249988,2.324988,0.723240,43266
2000-05-05,2.324988,2.549987,2.324988,2.474987,0.769901,274201
2000-05-08,2.399988,2.549987,2.324988,2.399988,0.746570,194267
2000-05-09,2.399988,2.399988,2.399988,2.399988,0.746570,0
2000-05-10,2.699986,2.849985,2.549987,2.624986,0.816561,638669
2000-05-11,2.549987,2.624986,2.474987,2.474987,0.769901,137667
2000-05-12,2.549987,2.699986,2.549987,2.549987,0.793231,237401
2000-05-15,2.549987,2.624986,2.249988,2.324988,0.723240,269934
2000-05-16,2.399988,2.474987,2.324988,2.324988,0.723240,176934
2000-05-17,2.399988,2.474987,2.249988,2.249988,0.699910,160334
2000-05-18,2.249988,2.249988,2.249988,2.249988,0.699910,0
2000-05-19,2.249988,2.249988,2.099989,2.099989,0.653249,178200
2000-05-22,2.099989,2.099989,2.024989,2.024989,0.629919,113667
2000-05-23,2.099989,2.099989,2.024989,2.024989,0.629919,149200
2000-05-24,2.024989,2.099989,1.949990,2.099989,0.653249,44266
2000-05-25,2.099989,2.099989,2.024989,2.024989,0.629919,56800
2000-05-26,2.024989,2.099989,2.024989,2.024989,0.629919,41000
2000-05-29,2.099989,2.099989,2.024989,2.024989,0.629919,24666
2000-05-30,2.024989,2.024989,2.024989,2.024989,0.629919,0
2000-05-31,2.024989,2.024989,1.949990,1.949990,0.606588,46066
2000-06-01,1.949990,2.024989,1.949990,1.949990,0.606588,8866
2000-06-02,2.024989,2.024989,2.024989,2.024989,0.629919,14866
2000-06-05,2.099989,2.099989,2.024989,2.099989,0.653249,17133
2000-06-06,2.024989,2.174989,2.024989,2.174989,0.676580,162000
2000-06-07,2.174989,2.399988,2.099989,2.249988,0.699910,261467
2000-06-08,2.249988,2.249988,2.174989,2.249988,0.699910,30066
2000-06-09,2.249988,2.324988,2.099989,2.324988,0.723240,88733
2000-06-12,2.474987,2.474987,2.174989,2.249988,0.699910,54600
2000-06-13,2.174989,2.174989,2.099989,2.099989,0.653249,49666
2000-06-14,2.174989,2.174989,2.099989,2.099989,0.653249,20866
2000-06-15,2.174989,2.324988,2.099989,2.174989,0.676580,67200
2000-06-16,2.174989,2.174989,2.099989,2.099989,0.653249,49666
2000-06-19,2.099989,2.099989,2.099989,2.099989,0.653249,48600
2000-06-20,2.099989,2.099989,2.099989,2.099989,0.653249,12266
2000-06-21,2.099989,2.099989,2.099989,2.099989,0.653249,33466
2000-06-22,2.099989,2.099989,2.024989,2.024989,0.629919,7266
2000-06-23,2.024989,2.099989,2.024989,2.024989,0.629919,40933
2000-06-26,2.024989,2.099989,2.024989,2.099989,0.653249,71667
2000-06-27,2.099989,2.174989,2.099989,2.099989,0.653249,18533
2000-06-28,2.099989,2.174989,2.099989,2.174989,0.676580,53533
2000-06-29,2.174989,2.174989,2.099989,2.174989,0.676580,48333
2000-06-30,2.174989,2.249988,2.174989,2.249988,0.699910,60666
2000-07-03,2.249988,2.324988,2.174989,2.249988,0.699910,113200
2000-07-04,2.249988,2.249988,2.174989,2.249988,0.699910,27533
2000-07-05,2.249988,2.249988,2.249988,2.249988,0.699910,89667
2000-07-06,2.174989,2.249988,2.174989,2.249988,0.699910,25866
2000-07-07,2.249988,2.324988,2.174989,2.249988,0.699910,44400
2000-07-10,2.249988,2.249988,2.174989,2.249988,0.699910,69600
2000-07-11,2.249988,2.474987,2.249988,2.249988,0.699910,341868
2000-07-12,2.324988,2.324988,2.249988,2.324988,0.723240,69000
2000-07-13,2.324988,2.324988,2.249988,2.249988,0.699910,77533
2000-07-14,2.249988,2.399988,2.249988,2.249988,0.699910,125267
2000-07-17,2.324988,2.324988,2.174989,2.249988,0.699910,42866
2000-07-18,2.249988,2.249988,2.174989,2.174989,0.676580,46466
2000-07-19,2.249988,2.249988,2.174989,2.174989,0.676580,46466
2000-07-20,2.249988,2.474987,2.249988,2.324988,0.723240,347935
2000-07-21,2.324988,2.399988,2.249988,2.324988,0.723240,238667
2000-07-24,2.324988,2.324988,2.249988,2.324988,0.723240,143400
2000-07-25,2.324988,2.324988,2.249988,2.249988,0.699910,80667
2000-07-26,2.324988,2.324988,2.174989,2.174989,0.676580,80667
2000-07-27,2.174989,2.249988,2.099989,2.249988,0.699910,88200
2000-07-28,2.174989,2.249988,2.174989,2.174989,0.676580,56533
2000-07-31,2.174989,2.174989,2.099989,2.099989,0.653249,87800
2000-08-01,2.099989,2.099989,2.099989,2.099989,0.653249,35000
2000-08-02,2.174989,2.249988,2.174989,2.174989,0.676580,157800
2000-08-03,2.249988,2.249988,2.174989,2.174989,0.676580,66200
2000-08-04,2.099989,2.174989,2.099989,2.099989,0.653249,29800
2000-08-07,2.174989,2.174989,2.099989,2.099989,0.653249,15466
2000-08-08,2.099989,2.174989,2.099989,2.099989,0.653249,68733
2000-08-09,2.099989,2.099989,2.099989,2.099989,0.653249,0
2000-08-10,2.099989,2.174989,2.024989,2.174989,0.676580,49133
2000-08-11,2.099989,2.174989,2.024989,2.174989,0.676580,40666
2000-08-14,2.099989,2.174989,2.099989,2.174989,0.676580,23666
2000-08-15,2.099989,2.174989,2.099989,2.099989,0.653249,21600
2000-08-16,2.099989,2.324988,2.099989,2.249988,0.699910,275134
2000-08-17,2.249988,2.249988,2.174989,2.249988,0.699910,20466
2000-08-18,2.174989,2.174989,2.174989,2.174989,0.676580,10666
2000-08-21,2.174989,2.174989,2.099989,2.099989,0.653249,35866
2000-08-22,2.174989,2.249988,2.099989,2.249988,0.699910,76400
2000-08-23,2.174989,2.174989,2.099989,2.174989,0.676580,34066
2000-08-24,2.174989,2.174989,2.099989,2.174989,0.676580,29800
2000-08-25,2.099989,2.174989,2.099989,2.174989,0.676580,54533
2000-08-28,2.099989,2.099989,2.099989,2.099989,0.653249,16466
2000-08-29,2.099989,2.174989,2.099989,2.099989,0.653249,26600
2000-08-30,2.099989,2.099989,2.099989,2.099989,0.653249,31733
2000-08-31,2.099989,2.099989,2.099989,2.099989,0.653249,11000
2000-09-01,2.099989,2.099989,2.024989,2.099989,0.653249,19600
2000-09-04,2.099989,2.099989,2.024989,2.099989,0.653249,11466
