Date,Open,High,Low,Close,Adj Close,Volume
2007-11-06,1.146407,1.166172,1.146407,1.156290,0.485416,1036141
2007-11-07,1.166172,1.176055,1.146407,1.146407,0.481267,2992060
2007-11-09,1.136524,1.146407,1.106876,1.126641,0.472969,4085877
2007-11-12,1.136524,1.146407,1.106876,1.116758,0.468820,1350828
2007-11-13,1.136524,1.136524,1.106876,1.106876,0.464672,5278856
2007-11-14,1.146407,1.146407,1.116758,1.116758,0.468820,1503619
2007-11-15,1.116758,1.126641,1.087110,1.087110,0.456374,2907064
2007-11-16,1.087110,1.126641,1.077227,1.126641,0.472969,2577199
2007-11-19,1.126641,1.126641,1.087110,1.106876,0.464672,434086
2007-11-20,1.096993,1.116758,1.077227,1.096993,0.460523,1769737
2007-11-21,1.116758,1.116758,1.067344,1.087110,0.456374,1320473
2007-11-22,1.037696,1.077227,1.037696,1.057461,0.443927,1929610
2007-11-23,1.077227,1.106876,1.077227,1.096993,0.460523,578782
2007-11-26,1.106876,1.106876,1.067344,1.077227,0.452225,1167682
2007-11-27,1.096993,1.096993,1.057461,1.077227,0.452225,3175206
2007-11-28,1.087110,1.096993,1.057461,1.067344,0.448076,2543807
2007-11-29,1.067344,1.067344,1.047579,1.047579,0.439778,2632851
2007-11-30,1.047579,1.067344,1.037696,1.047579,0.439778,5664374
2007-12-03,1.047579,1.047579,1.047579,1.047579,0.439778,1628077
2007-12-04,1.047579,1.067344,1.037696,1.037696,0.435630,5453907
2007-12-05,1.047579,1.077227,1.047579,1.077227,0.452225,2460835
2007-12-06,1.087110,1.116758,1.087110,1.116758,0.468820,1732298
2007-12-07,1.126641,1.146407,1.106876,1.106876,0.464672,3510131
2007-12-10,1.116758,1.116758,1.077227,1.077227,0.452225,831746
2007-12-11,1.077227,1.126641,1.077227,1.096993,0.460523,1075603
2007-12-12,1.077227,1.087110,1.067344,1.067344,0.448076,899540
2007-12-13,1.087110,1.096993,1.067344,1.087110,0.456374,1441895
2007-12-14,1.096993,1.096993,1.067344,1.067344,0.448076,786212
2007-12-17,1.077227,1.077227,1.057461,1.067344,0.448076,1734322
2007-12-18,1.057461,1.087110,1.057461,1.087110,0.456374,2045974
2007-12-19,1.087110,1.126641,1.087110,1.116758,0.468820,4828580
2007-12-21,1.116758,1.146407,1.077227,1.077227,0.452225,4249798
2007-12-24,1.096993,1.096993,1.087110,1.096993,0.460523,758892
2007-12-26,1.096993,1.106876,1.096993,1.096993,0.460523,207430
2007-12-27,1.096993,1.096993,1.067344,1.087110,0.456374,1128220
2007-12-28,1.077227,1.077227,1.057461,1.057461,0.443927,2180551
2007-12-31,1.067344,1.077227,1.047579,1.077227,0.452225,3635601
2008-01-02,1.077227,1.077227,1.057461,1.077227,0.452225,379446
2008-01-03,1.067344,1.077227,1.057461,1.077227,0.452225,416884
2008-01-04,1.057461,1.077227,1.057461,1.077227,0.452225,2243286
2008-01-07,1.067344,1.067344,1.017930,1.037696,0.435630,3028487
2008-01-08,1.037696,1.047579,1.027813,1.027813,0.431481,1037153
2008-01-09,1.017930,1.017930,0.978399,0.988282,0.414885,9575200
2008-01-10,0.998164,0.998164,0.988282,0.988282,0.414885,1578496
2008-01-11,0.988282,0.998164,0.948750,0.958633,0.402439,4887268
2008-01-14,0.958633,0.958633,0.928985,0.928985,0.389992,3788391
2008-01-15,0.958633,0.958633,0.884512,0.894395,0.375471,7502917
2008-01-16,0.889453,0.904278,0.869688,0.869688,0.365099,3317878
2008-01-17,0.879571,0.894395,0.874629,0.874629,0.367173,8342759
2008-01-18,0.869688,0.914161,0.849922,0.884512,0.371322,3559712
2008-01-21,0.864746,0.874629,0.849922,0.849922,0.356801,2066211
2008-01-22,0.820274,0.820274,0.617676,0.785684,0.329834,4834651
2008-01-23,0.810391,0.825215,0.800508,0.820274,0.344355,2500298
2008-01-24,0.879571,0.904278,0.874629,0.889453,0.373397,4785070
2008-01-25,0.879571,0.938868,0.879571,0.914161,0.383769,3251095
2008-01-28,0.909219,0.909219,0.889453,0.894395,0.375471,1656409
2008-01-29,0.889453,0.909219,0.874629,0.889453,0.374527,3331032
2008-01-30,0.884512,0.904278,0.884512,0.904278,0.380770,1210180
2008-01-31,0.904278,0.928985,0.899336,0.909219,0.382850,1623018
2008-02-01,0.909219,0.933926,0.859805,0.884512,0.372447,1788962
2008-02-04,0.899336,0.928985,0.899336,0.928985,0.391173,1093817
2008-02-05,0.924043,0.924043,0.884512,0.894395,0.376608,2530653
2008-02-06,0.879571,0.894395,0.879571,0.879571,0.370366,533248
2008-02-11,0.889453,0.894395,0.835098,0.859805,0.362043,2825104
2008-02-12,0.879571,0.879571,0.835098,0.864746,0.364124,2662195
2008-02-13,0.869688,0.869688,0.844981,0.849922,0.357882,10086188
2008-02-14,0.864746,0.879571,0.864746,0.869688,0.366204,9619722
2008-02-15,0.869688,0.889453,0.854864,0.889453,0.374527,2373815
2008-02-18,0.889453,0.909219,0.879571,0.909219,0.382850,861090
2008-02-19,0.914161,0.919102,0.899336,0.899336,0.378689,420932
2008-02-20,0.914161,0.914161,0.894395,0.894395,0.376608,3964454
2008-02-21,0.894395,0.904278,0.889453,0.904278,0.380770,3784344
2008-02-22,0.894395,0.914161,0.894395,0.909219,0.382850,1799081
2008-02-25,0.928985,0.938868,0.919102,0.933926,0.393254,2069247
2008-02-26,0.943809,0.958633,0.933926,0.933926,0.393254,4783046
2008-02-27,0.958633,0.958633,0.928985,0.928985,0.391173,961263
2008-02-28,0.948750,0.948750,0.928985,0.943809,0.397415,3224787
2008-02-29,0.943809,0.943809,0.924043,0.943809,0.397415,2806890
2008-03-03,0.933926,0.933926,0.894395,0.899336,0.378689,1828425
2008-03-04,0.909219,0.909219,0.889453,0.894395,0.376608,1067508
2008-03-05,0.914161,0.938868,0.894395,0.938868,0.395335,1618970
2008-03-06,0.938868,0.938868,0.879571,0.889453,0.374527,3960407
2008-03-07,0.879571,0.904278,0.864746,0.904278,0.380770,6904910
2008-03-10,0.904278,0.904278,0.869688,0.869688,0.366204,1842591
2008-03-11,0.854864,0.879571,0.854864,0.859805,0.362043,1623018
2008-03-12,0.869688,0.889453,0.859805,0.859805,0.362043,2030796
2008-03-13,0.854864,0.864746,0.849922,0.864746,0.364124,1941753
2008-03-14,0.864746,0.879571,0.864746,0.864746,0.364124,2969799
2008-03-17,0.840039,0.854864,0.835098,0.854864,0.359963,2408219
