Date,Open,High,Low,Close,Adj Close,Volume
2004-05-06,0.210895,0.223062,0.186561,0.186561,0.156668,40474137
2004-05-07,0.186561,0.194672,0.178449,0.194672,0.163479,10930359
2004-05-10,0.186561,0.186561,0.174394,0.178449,0.149856,2264727
2004-05-11,0.174394,0.186561,0.166282,0.186561,0.156668,4756296
2004-05-12,0.186561,0.194672,0.174394,0.182505,0.153262,3684958
2004-05-13,0.178449,0.182505,0.166282,0.166282,0.139638,2966213
2004-05-14,0.166282,0.174394,0.158171,0.158171,0.132827,3239903
2004-05-17,0.162227,0.162227,0.150060,0.154115,0.129421,2290616
2004-05-18,0.154115,0.154115,0.146004,0.150060,0.126015,1317905
2004-05-19,0.150060,0.150060,0.146004,0.150060,0.126015,1750632
2004-05-20,0.146004,0.146004,0.133837,0.133837,0.112392,1485572
2004-05-21,0.133837,0.146004,0.133837,0.141948,0.119203,1112021
2004-05-24,0.141948,0.141948,0.137892,0.141948,0.119203,369852
2004-05-25,0.137892,0.146004,0.133837,0.133837,0.112392,1209416
2004-05-26,0.137892,0.141948,0.137892,0.137892,0.115797,913534
2004-05-27,0.137892,0.137892,0.137892,0.137892,0.115797,346428
2004-05-28,0.137892,0.137892,0.133837,0.137892,0.115797,363687
2004-05-31,0.133837,0.137892,0.133837,0.137892,0.115797,216979
2004-06-01,0.137892,0.137892,0.137892,0.137892,0.115797,398207
2004-06-02,0.137892,0.137892,0.137892,0.137892,0.115797,0
2004-06-03,0.137892,0.137892,0.133837,0.137892,0.115797,210815
2004-06-04,0.133837,0.133837,0.133837,0.133837,0.112392,61642
2004-06-07,0.137892,0.137892,0.133837,0.133837,0.112392,99860
2004-06-08,0.133837,0.137892,0.133837,0.137892,0.115797,200952
2004-06-09,0.137892,0.137892,0.133837,0.133837,0.112392,246568
2004-06-10,0.133837,0.133837,0.133837,0.133837,0.112392,32053
2004-06-11,0.137892,0.137892,0.133837,0.133837,0.112392,49313
2004-06-14,0.133837,0.133837,0.133837,0.133837,0.112392,123284
2004-06-15,0.129781,0.133837,0.129781,0.133837,0.112392,123284
2004-06-16,0.133837,0.133837,0.133837,0.133837,0.112392,0
2004-06-17,0.129781,0.129781,0.129781,0.129781,0.108986,197254
2004-06-18,0.129781,0.133837,0.129781,0.133837,0.112392,246568
2004-06-21,0.129781,0.129781,0.125725,0.125725,0.105580,73970
2004-06-22,0.125725,0.125725,0.121670,0.121670,0.102174,292183
2004-06-23,0.125725,0.129781,0.125725,0.129781,0.108986,40683
2004-06-24,0.129781,0.129781,0.129781,0.129781,0.108986,197254
2004-06-25,0.125725,0.125725,0.125725,0.125725,0.105580,78901
2004-06-28,0.129781,0.133837,0.129781,0.133837,0.112392,166433
2004-06-29,0.133837,0.137892,0.133837,0.137892,0.115797,154105
2004-06-30,0.137892,0.137892,0.137892,0.137892,0.115797,51779
2004-07-01,0.137892,0.137892,0.137892,0.137892,0.115797,28355
2004-07-02,0.137892,0.137892,0.133837,0.133837,0.112392,61642
2004-07-05,0.133837,0.133837,0.133837,0.133837,0.112392,0
2004-07-06,0.137892,0.137892,0.137892,0.137892,0.115797,202185
2004-07-07,0.137892,0.137892,0.133837,0.133837,0.112392,88764
2004-07-08,0.137892,0.137892,0.137892,0.137892,0.115797,12328
2004-07-09,0.133837,0.133837,0.129781,0.129781,0.108986,82600
2004-07-12,0.137892,0.137892,0.129781,0.129781,0.108986,88764
2004-07-13,0.129781,0.133837,0.129781,0.133837,0.112392,154105
2004-07-14,0.133837,0.133837,0.133837,0.133837,0.112392,162734
2004-07-15,0.133837,0.133837,0.129781,0.133837,0.112392,160269
2004-07-16,0.133837,0.133837,0.133837,0.133837,0.112392,0
2004-07-19,0.133837,0.133837,0.133837,0.133837,0.112392,191090
2004-07-20,0.129781,0.129781,0.129781,0.129781,0.108986,94928
2004-07-21,0.129781,0.129781,0.129781,0.129781,0.108986,146707
