Date,Open,High,Low,Close,Adj Close,Volume
2000-05-29,1.600000,1.750000,1.500000,1.525000,1.349324,1838200
2000-05-30,1.525000,1.525000,1.525000,1.525000,1.349324,0
2000-05-31,1.450000,1.500000,1.300000,1.300000,1.150243,67200
2000-06-01,1.350000,1.375000,1.300000,1.325000,1.172363,50400
2000-06-02,1.325000,1.375000,1.300000,1.300000,1.150243,124000
2000-06-05,1.350000,1.375000,1.275000,1.325000,1.172363,63000
2000-06-06,1.325000,1.450000,1.275000,1.425000,1.260843,109600
2000-06-07,1.475000,1.500000,1.300000,1.300000,1.150243,136000
2000-06-08,1.300000,1.325000,1.300000,1.325000,1.172363,39400
2000-06-09,1.275000,1.325000,1.250000,1.275000,1.128123,32000
2000-06-12,1.200000,1.275000,1.175000,1.275000,1.128123,18600
2000-06-13,1.200000,1.325000,1.200000,1.300000,1.150243,62000
2000-06-14,1.325000,1.350000,1.325000,1.350000,1.194483,52800
2000-06-15,1.350000,1.350000,1.325000,1.350000,1.194483,5000
2000-06-16,1.325000,1.325000,1.300000,1.300000,1.150243,26200
2000-06-19,1.375000,1.375000,1.350000,1.350000,1.194483,8200
2000-06-20,1.350000,1.350000,1.350000,1.350000,1.194483,0
2000-06-21,1.325000,1.350000,1.250000,1.350000,1.194483,3400
2000-06-22,1.350000,1.350000,1.350000,1.350000,1.194483,0
2000-06-23,1.300000,1.350000,1.300000,1.350000,1.194483,3400
2000-06-26,1.375000,1.375000,1.300000,1.300000,1.150243,14400
2000-06-27,1.300000,1.350000,1.250000,1.350000,1.194483,9400
2000-06-28,1.325000,1.325000,1.300000,1.300000,1.150243,3000
2000-06-29,1.300000,1.325000,1.300000,1.325000,1.172363,3000
2000-06-30,1.300000,1.300000,1.300000,1.300000,1.150243,1600
2000-07-03,1.300000,1.300000,1.300000,1.300000,1.150243,3200
2000-07-04,1.300000,1.325000,1.300000,1.325000,1.172363,6000
2000-07-05,1.300000,1.325000,1.300000,1.300000,1.150243,11000
2000-07-06,1.300000,1.300000,1.275000,1.275000,1.128123,5400
2000-07-07,1.275000,1.450000,1.275000,1.425000,1.260843,318000
2000-07-10,1.475000,1.525000,1.475000,1.500000,1.327204,106600
2000-07-11,1.500000,1.550000,1.475000,1.550000,1.371444,64600
2000-07-12,1.550000,1.650000,1.500000,1.575000,1.393564,85800
2000-07-13,1.550000,1.650000,1.550000,1.650000,1.459924,379800
2000-07-14,1.550000,1.600000,1.550000,1.575000,1.393564,16600
2000-07-17,1.575000,1.600000,1.575000,1.600000,1.415684,24400
