Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,1.449420,1.568550,1.439492,1.558623,0.473645,2044817
2000-01-04,1.558623,1.667826,1.518913,1.667826,0.506830,2818423
2000-01-05,1.568550,1.598333,1.479202,1.479202,0.449510,4155109
2000-01-06,1.528840,1.588405,1.419637,1.499057,0.455544,2434642
2000-01-07,1.479202,1.528840,1.469275,1.499057,0.455544,738350
2000-01-10,1.538768,1.548695,1.499057,1.499057,0.455544,1243007
2000-01-11,1.508985,1.528840,1.479202,1.499057,0.455544,1368919
2000-01-12,1.489130,1.528840,1.489130,1.499057,0.455544,1072773
2000-01-13,1.518913,1.628115,1.518913,1.538768,0.467611,3887167
2000-01-14,1.568550,1.598333,1.568550,1.588405,0.482695,2321824
2000-01-17,1.608260,1.737318,1.608260,1.727391,0.524931,5668072
2000-01-18,1.727391,1.727391,1.727391,1.727391,0.524931,0
2000-01-19,1.598333,1.647971,1.548695,1.558623,0.473645,4395854
2000-01-20,1.588405,1.608260,1.578478,1.588405,0.482695,898510
2000-01-21,1.608260,1.608260,1.548695,1.558623,0.473645,1201708
2000-01-24,1.568550,1.568550,1.508985,1.518913,0.461578,1019386
2000-01-25,1.538768,1.608260,1.499057,1.538768,0.467611,976072
2000-01-26,1.548695,1.588405,1.528840,1.548695,0.470628,2165693
2000-01-27,1.548695,1.618188,1.538768,1.568550,0.476662,2247284
2000-01-28,1.588405,1.598333,1.538768,1.558623,0.473645,1509941
2000-01-31,1.518913,1.558623,1.508985,1.558623,0.473645,633591
2000-02-01,1.568550,1.568550,1.508985,1.508985,0.458561,752452
2000-02-02,1.528840,1.538768,1.508985,1.518913,0.461578,822963
2000-02-03,1.528840,1.568550,1.518913,1.538768,0.467611,1419284
2000-02-04,1.558623,1.558623,1.528840,1.528840,0.464594,1020394
2000-02-07,1.528840,1.528840,1.528840,1.528840,0.464594,0
2000-02-08,1.538768,1.568550,1.528840,1.548695,0.470628,881386
2000-02-09,1.568550,1.806811,1.558623,1.677753,0.509847,12702043
2000-02-10,1.638043,1.737318,1.638043,1.717463,0.521914,2150583
2000-02-11,1.747246,1.806811,1.707536,1.747246,0.530965,3289839
2000-02-14,1.717463,1.806811,1.717463,1.806811,0.549066,2373197
2000-02-15,1.816739,1.826666,1.707536,1.747246,0.530965,1864510
