Date,Open,High,Low,Close,Adj Close,Volume
2014-12-11,0.995000,1.015000,0.975000,1.010000,0.835078,15251000
2014-12-12,1.015000,1.145000,1.005000,1.110000,0.917759,6359000
2014-12-15,1.095000,1.165000,1.090000,1.100000,0.909491,4064000
2014-12-16,1.100000,1.100000,1.060000,1.070000,0.884687,1355000
2014-12-17,1.065000,1.065000,1.035000,1.060000,0.876418,952000
2014-12-18,1.070000,1.075000,1.035000,1.060000,0.876418,741000
2014-12-19,1.055000,1.055000,1.025000,1.050000,0.868150,1150000
2014-12-22,1.040000,1.120000,1.035000,1.110000,0.917759,2528000
2014-12-23,1.095000,1.135000,1.065000,1.080000,0.892955,1269000
2014-12-24,1.080000,1.095000,1.070000,1.070000,0.884687,85000
2014-12-26,1.060000,1.085000,1.060000,1.065000,0.880552,29000
2014-12-29,1.065000,1.080000,1.065000,1.070000,0.884687,77000
2014-12-30,1.070000,1.075000,1.065000,1.070000,0.884687,276000
2014-12-31,1.070000,1.100000,1.070000,1.090000,0.901223,704000
2015-01-02,1.095000,1.115000,1.095000,1.115000,0.921893,685000
2015-01-05,1.105000,1.110000,1.095000,1.105000,0.913625,709000
2015-01-06,1.095000,1.135000,1.090000,1.110000,0.917759,1560000
2015-01-07,1.110000,1.110000,1.105000,1.110000,0.917759,584000
2015-01-08,1.115000,1.175000,1.115000,1.175000,0.971502,1187000
2015-01-09,1.180000,1.210000,1.155000,1.175000,0.971502,930000
2015-01-12,1.165000,1.165000,1.155000,1.165000,0.963234,91000
2015-01-13,1.165000,1.220000,1.160000,1.180000,0.975636,787000
2015-01-14,1.180000,1.245000,1.180000,1.225000,1.012842,1287000
2015-01-15,1.240000,1.280000,1.240000,1.270000,1.050048,1250000
2015-01-16,1.265000,1.270000,1.225000,1.265000,1.045914,473000
2015-01-19,1.270000,1.295000,1.265000,1.265000,1.045914,757200
2015-01-20,1.280000,1.280000,1.255000,1.260000,1.041780,266500
2015-01-21,1.260000,1.260000,1.230000,1.240000,1.025244,273400
2015-01-22,1.250000,1.265000,1.245000,1.260000,1.041780,399000
2015-01-23,1.260000,1.265000,1.240000,1.240000,1.025244,227500
2015-01-26,1.245000,1.245000,1.200000,1.210000,1.000440,440900
2015-01-27,1.210000,1.210000,1.200000,1.205000,0.996306,222300
2015-01-28,1.205000,1.280000,1.195000,1.270000,1.050048,1141500
2015-01-29,1.270000,1.290000,1.265000,1.265000,1.045914,443900
2015-01-30,1.275000,1.290000,1.270000,1.280000,1.058317,485200
2015-02-02,1.285000,1.285000,1.270000,1.275000,1.054183,139600
2015-02-03,1.275000,1.280000,1.255000,1.270000,1.050048,202500
2015-02-04,1.275000,1.275000,1.245000,1.265000,1.045914,415900
2015-02-05,1.255000,1.275000,1.250000,1.275000,1.054183,90500
2015-02-06,1.270000,1.320000,1.270000,1.305000,1.078987,615800
2015-02-09,1.300000,1.310000,1.295000,1.305000,1.078987,653200
2015-02-10,1.310000,1.340000,1.310000,1.315000,1.087255,664900
2015-02-11,1.320000,1.330000,1.310000,1.320000,1.091389,1051700
2015-02-12,1.320000,1.340000,1.300000,1.330000,1.099657,309500
2015-02-13,1.320000,1.360000,1.315000,1.345000,1.112059,769600
2015-02-16,1.350000,1.395000,1.340000,1.395000,1.153400,1427900
2015-02-17,1.395000,1.410000,1.380000,1.395000,1.153400,443000
2015-02-18,1.395000,1.395000,1.380000,1.390000,1.149265,46500
2015-02-23,1.390000,1.395000,1.390000,1.390000,1.149265,109500
2015-02-24,1.380000,1.380000,1.365000,1.370000,1.132729,112900
2015-02-25,1.355000,1.380000,1.355000,1.365000,1.128595,70100
2015-02-26,1.365000,1.390000,1.360000,1.360000,1.124462,494000
2015-02-27,1.360000,1.375000,1.360000,1.370000,1.132729,258300
2015-03-02,1.370000,1.370000,1.350000,1.365000,1.128595,269900
2015-03-03,1.365000,1.385000,1.365000,1.365000,1.128595,397800
2015-03-04,1.370000,1.370000,1.360000,1.365000,1.128595,37400
2015-03-05,1.360000,1.360000,1.335000,1.340000,1.107925,253500
2015-03-06,1.320000,1.320000,1.305000,1.320000,1.091389,122400
2015-03-09,1.315000,1.335000,1.310000,1.320000,1.091389,87400
2015-03-10,1.320000,1.330000,1.315000,1.320000,1.091389,153800
2015-03-11,1.310000,1.310000,1.285000,1.285000,1.062451,345000
2015-03-12,1.285000,1.285000,1.255000,1.260000,1.041780,407000
2015-03-13,1.270000,1.270000,1.250000,1.270000,1.050048,326900
2015-03-16,1.270000,1.270000,1.255000,1.255000,1.037647,16000
2015-03-17,1.255000,1.255000,1.210000,1.220000,1.008708,389000
2015-03-18,1.220000,1.235000,1.210000,1.220000,1.008708,192000
2015-03-19,1.220000,1.230000,1.220000,1.220000,1.008708,816000
2015-03-20,1.220000,1.235000,1.220000,1.235000,1.021110,351300
2015-03-23,1.240000,1.275000,1.235000,1.270000,1.050048,303500
2015-03-24,1.265000,1.275000,1.260000,1.260000,1.041780,184400
2015-03-25,1.265000,1.270000,1.260000,1.260000,1.041780,83300
2015-03-26,1.260000,1.260000,1.250000,1.250000,1.033512,17700
2015-03-27,1.255000,1.260000,1.245000,1.245000,1.029378,71500
2015-03-30,1.250000,1.280000,1.250000,1.280000,1.058317,218400
2015-03-31,1.275000,1.280000,1.270000,1.280000,1.058317,58700
2015-04-01,1.280000,1.290000,1.280000,1.290000,1.066585,102000
2015-04-02,1.300000,1.300000,1.290000,1.290000,1.066585,261700
2015-04-06,1.290000,1.290000,1.270000,1.270000,1.050048,64700
2015-04-07,1.270000,1.275000,1.245000,1.250000,1.033512,45400
2015-04-08,1.245000,1.255000,1.245000,1.255000,1.037647,30500
2015-04-09,1.250000,1.265000,1.250000,1.265000,1.045914,18500
2015-04-10,1.270000,1.300000,1.265000,1.265000,1.045914,200400
2015-04-13,1.260000,1.260000,1.260000,1.260000,1.041780,15600
2015-04-14,1.260000,1.275000,1.260000,1.270000,1.050048,320300
2015-04-15,1.285000,1.285000,1.270000,1.270000,1.050048,22200
2015-04-16,1.270000,1.270000,1.270000,1.270000,1.055701,343300
2015-04-17,1.275000,1.345000,1.275000,1.315000,1.093108,133000
2015-04-20,1.340000,1.370000,1.315000,1.330000,1.105577,455900
2015-04-21,1.335000,1.350000,1.335000,1.345000,1.118046,98700
2015-04-22,1.345000,1.345000,1.345000,1.345000,1.118046,0
2015-04-23,1.340000,1.345000,1.300000,1.345000,1.118046,50100
2015-04-24,1.345000,1.345000,1.345000,1.345000,1.118046,0
2015-04-27,1.305000,1.385000,1.305000,1.380000,1.147140,145700
2015-04-28,1.380000,1.380000,1.365000,1.365000,1.134671,176000
2015-04-29,1.360000,1.385000,1.355000,1.360000,1.130515,432200
2015-04-30,1.355000,1.365000,1.355000,1.365000,1.134671,172200
2015-05-04,1.380000,1.380000,1.360000,1.365000,1.134671,11900
2015-05-05,1.365000,1.365000,1.355000,1.355000,1.126358,196200
2015-05-06,1.345000,1.355000,1.330000,1.345000,1.123685,73300
2015-05-07,1.330000,1.330000,1.295000,1.295000,1.081912,156100
2015-05-08,1.290000,1.300000,1.290000,1.300000,1.086089,30800
2015-05-11,1.300000,1.300000,1.300000,1.300000,1.086089,17000
2015-05-12,1.300000,1.300000,1.290000,1.290000,1.077735,634600
2015-05-13,1.280000,1.290000,1.280000,1.290000,1.077735,48200
2015-05-14,1.290000,1.290000,1.280000,1.290000,1.077735,412600
2015-05-15,1.300000,1.300000,1.280000,1.290000,1.077735,27100
2015-05-18,1.290000,1.335000,1.290000,1.290000,1.077735,51700
2015-05-19,1.290000,1.325000,1.290000,1.310000,1.094444,75000
2015-05-20,1.320000,1.405000,1.320000,1.385000,1.157103,1588100
2015-05-21,1.395000,1.480000,1.395000,1.445000,1.207231,1005300
2015-05-22,1.450000,1.480000,1.400000,1.470000,1.228117,429600
2015-05-25,1.485000,1.530000,1.485000,1.520000,1.269889,898600
2015-05-26,1.535000,1.595000,1.525000,1.575000,1.315839,1688300
2015-05-27,1.575000,1.575000,1.515000,1.530000,1.278243,186300
2015-05-28,1.535000,1.575000,1.530000,1.550000,1.294953,563400
2015-05-29,1.560000,1.565000,1.535000,1.565000,1.307485,471100
2015-06-02,1.560000,1.560000,1.490000,1.530000,1.278243,92300
2015-06-03,1.505000,1.510000,1.495000,1.510000,1.261535,351400
2015-06-04,1.515000,1.530000,1.490000,1.490000,1.244826,79700
2015-06-05,1.480000,1.480000,1.445000,1.445000,1.207231,276400
2015-06-08,1.450000,1.450000,1.440000,1.450000,1.211407,586400
2015-06-09,1.455000,1.455000,1.440000,1.440000,1.203053,67600
2015-06-10,1.430000,1.450000,1.430000,1.430000,1.194698,178400
2015-06-11,1.465000,1.495000,1.460000,1.480000,1.236471,40300
2015-06-12,1.510000,1.570000,1.510000,1.540000,1.286598,514000
2015-06-15,1.550000,1.560000,1.510000,1.510000,1.261535,122600
2015-06-16,1.505000,1.505000,1.455000,1.470000,1.228117,137800
2015-06-17,1.480000,1.480000,1.450000,1.455000,1.215585,181000
2015-06-18,1.450000,1.450000,1.430000,1.440000,1.203053,188700
2015-06-19,1.450000,1.480000,1.415000,1.460000,1.219762,288400
2015-06-22,1.450000,1.460000,1.425000,1.460000,1.219762,212700
2015-06-23,1.470000,1.525000,1.450000,1.515000,1.265712,242000
2015-06-24,1.500000,1.505000,1.495000,1.500000,1.253180,72300
2015-06-25,1.495000,1.495000,1.475000,1.490000,1.244826,79700
2015-06-26,1.490000,1.490000,1.480000,1.480000,1.236471,42100
2015-06-29,1.470000,1.470000,1.425000,1.440000,1.203053,159500
2015-06-30,1.440000,1.455000,1.440000,1.445000,1.207231,405600
2015-07-01,1.445000,1.470000,1.440000,1.470000,1.228117,295500
2015-07-02,1.460000,1.470000,1.445000,1.445000,1.207231,20100
2015-07-03,1.450000,1.470000,1.450000,1.465000,1.223939,261100
2015-07-06,1.435000,1.450000,1.430000,1.450000,1.211407,10000
2015-07-07,1.450000,1.450000,1.440000,1.450000,1.211407,218000
2015-07-08,1.450000,1.455000,1.435000,1.435000,1.198876,127900
2015-07-09,1.430000,1.450000,1.430000,1.445000,1.207231,134500
2015-07-10,1.445000,1.450000,1.440000,1.450000,1.211407,191100
2015-07-13,1.445000,1.530000,1.440000,1.495000,1.249003,1438100
2015-07-14,1.500000,1.500000,1.460000,1.480000,1.236471,1045600
2015-07-15,1.480000,1.485000,1.480000,1.485000,1.240649,26300
2015-07-16,1.480000,1.490000,1.480000,1.485000,1.240649,256300
2015-07-20,1.485000,1.490000,1.485000,1.485000,1.240649,42100
2015-07-21,1.480000,1.490000,1.480000,1.485000,1.240649,52000
2015-07-22,1.480000,1.485000,1.480000,1.480000,1.236471,365300
2015-07-23,1.480000,1.505000,1.480000,1.490000,1.244826,1009800
2015-07-24,1.485000,1.490000,1.485000,1.490000,1.244826,11000
2015-07-27,1.485000,1.485000,1.475000,1.480000,1.236471,371400
2015-07-28,1.455000,1.480000,1.450000,1.480000,1.236471,85500
2015-07-29,1.480000,1.480000,1.455000,1.455000,1.215585,17700
2015-07-30,1.490000,1.505000,1.480000,1.480000,1.236471,385100
2015-07-31,1.490000,1.490000,1.445000,1.490000,1.244826,9300
2015-08-03,1.490000,1.490000,1.460000,1.480000,1.236471,355500
2015-08-04,1.475000,1.475000,1.460000,1.475000,1.237982,1142300
2015-08-05,1.475000,1.475000,1.455000,1.470000,1.233785,201700
2015-08-06,1.455000,1.465000,1.455000,1.465000,1.229589,99100
2015-08-07,1.465000,1.465000,1.465000,1.465000,1.229589,0
2015-08-11,1.470000,1.475000,1.470000,1.470000,1.233785,128000
2015-08-12,1.465000,1.465000,1.430000,1.445000,1.212803,1350800
2015-08-13,1.430000,1.430000,1.415000,1.415000,1.187623,87800
2015-08-14,1.420000,1.420000,1.415000,1.415000,1.187623,154500
2015-08-17,1.415000,1.415000,1.415000,1.415000,1.187623,140000
2015-08-18,1.415000,1.415000,1.390000,1.400000,1.175034,114600
2015-08-19,1.390000,1.400000,1.390000,1.400000,1.175034,33000
2015-08-20,1.400000,1.400000,1.390000,1.390000,1.166640,83900
2015-08-21,1.350000,1.350000,1.330000,1.335000,1.120479,162200
2015-08-24,1.320000,1.320000,1.200000,1.200000,1.007172,466400
2015-08-25,1.160000,1.260000,1.160000,1.260000,1.057530,247700
2015-08-26,1.230000,1.250000,1.230000,1.245000,1.044941,259500
2015-08-27,1.260000,1.280000,1.250000,1.275000,1.070120,138900
2015-08-28,1.290000,1.310000,1.290000,1.300000,1.091102,491500
2015-08-31,1.300000,1.300000,1.300000,1.300000,1.091102,6000
2015-09-01,1.295000,1.300000,1.295000,1.300000,1.091102,5000
2015-09-02,1.300000,1.300000,1.280000,1.280000,1.074317,1800
2015-09-03,1.250000,1.260000,1.250000,1.250000,1.049137,20800
2015-09-04,1.210000,1.300000,1.210000,1.290000,1.082710,20300
2015-09-07,1.265000,1.290000,1.265000,1.265000,1.061727,51200
2015-09-08,1.265000,1.265000,1.265000,1.265000,1.061727,4000
2015-09-09,1.280000,1.295000,1.280000,1.295000,1.086906,23100
2015-09-10,1.295000,1.300000,1.295000,1.300000,1.091102,12000
2015-09-14,1.300000,1.300000,1.300000,1.300000,1.091102,4000
2015-09-15,1.290000,1.300000,1.290000,1.300000,1.091102,1400
2015-09-16,1.300000,1.300000,1.260000,1.300000,1.091102,3700
2015-09-17,1.290000,1.300000,1.290000,1.300000,1.091102,45000
2015-09-18,1.300000,1.300000,1.300000,1.300000,1.091102,10000
2015-09-21,1.280000,1.320000,1.280000,1.320000,1.107889,235500
2015-09-22,1.300000,1.300000,1.300000,1.300000,1.091102,10000
2015-09-23,1.300000,1.300000,1.300000,1.300000,1.091102,0
2015-09-25,1.300000,1.300000,1.300000,1.300000,1.091102,0
2015-09-28,1.350000,1.420000,1.330000,1.330000,1.116282,54200
2015-09-29,1.330000,1.400000,1.330000,1.400000,1.175034,5100
2015-09-30,1.300000,1.395000,1.235000,1.385000,1.162444,74900
2015-10-01,1.385000,1.400000,1.385000,1.400000,1.175034,331300
2015-10-02,1.400000,1.400000,1.400000,1.400000,1.175034,138400
2015-10-05,1.400000,1.410000,1.400000,1.410000,1.183427,65000
2015-10-06,1.420000,1.450000,1.420000,1.440000,1.208606,132700
2015-10-07,1.435000,1.465000,1.435000,1.455000,1.221196,279000
2015-10-08,1.460000,1.470000,1.440000,1.450000,1.216999,163100
2015-10-09,1.450000,1.450000,1.450000,1.450000,1.216999,19500
2015-10-12,1.460000,1.490000,1.460000,1.480000,1.242178,92100
2015-10-13,1.465000,1.470000,1.450000,1.460000,1.225392,33400
2015-10-14,1.450000,1.460000,1.430000,1.450000,1.216999,30000
2015-10-15,1.460000,1.480000,1.460000,1.480000,1.242178,3100
2015-10-16,1.470000,1.470000,1.450000,1.470000,1.233785,158900
2015-10-19,1.460000,1.460000,1.450000,1.460000,1.225392,10600
2015-10-20,1.500000,1.510000,1.480000,1.490000,1.250571,310900
2015-10-21,1.490000,1.490000,1.490000,1.490000,1.250571,0
2015-10-22,1.490000,1.490000,1.490000,1.490000,1.250571,0
2015-10-23,1.490000,1.490000,1.480000,1.480000,1.242178,37000
2015-10-26,1.480000,1.480000,1.480000,1.480000,1.242178,0
2015-10-27,1.475000,1.475000,1.460000,1.460000,1.225392,149600
2015-10-28,1.460000,1.460000,1.460000,1.460000,1.225392,3000
2015-10-29,1.460000,1.460000,1.460000,1.460000,1.225392,220100
2015-10-30,1.460000,1.460000,1.460000,1.460000,1.225392,13000
2015-11-02,1.460000,1.460000,1.460000,1.460000,1.225392,0
2015-11-03,1.460000,1.485000,1.450000,1.460000,1.225392,224300
2015-11-04,1.460000,1.460000,1.460000,1.460000,1.231126,0
2015-11-05,1.460000,1.460000,1.460000,1.460000,1.231126,0
2015-11-06,1.460000,1.460000,1.460000,1.460000,1.231126,3100
2015-11-09,1.450000,1.450000,1.450000,1.450000,1.222694,134000
2015-11-11,1.450000,1.450000,1.450000,1.450000,1.222694,200
2015-11-12,1.450000,1.450000,1.450000,1.450000,1.222694,0
2015-11-13,1.450000,1.450000,1.450000,1.450000,1.222694,0
2015-11-16,1.400000,1.445000,1.400000,1.445000,1.218478,1400
2015-11-17,1.445000,1.445000,1.445000,1.445000,1.218478,0
2015-11-18,1.445000,1.445000,1.445000,1.445000,1.218478,0
2015-11-19,1.380000,1.400000,1.370000,1.380000,1.163668,64000
2015-11-20,1.440000,1.440000,1.375000,1.400000,1.180532,3700
2015-11-23,1.400000,1.400000,1.400000,1.400000,1.180532,5000
2015-11-24,1.400000,1.450000,1.400000,1.440000,1.214262,77000
2015-11-25,1.400000,1.400000,1.400000,1.400000,1.180532,11000
2015-11-26,1.400000,1.440000,1.400000,1.400000,1.180532,46000
2015-11-27,1.420000,1.430000,1.420000,1.430000,1.205829,2100
2015-11-30,1.440000,1.440000,1.440000,1.440000,1.214262,2000
2015-12-01,1.420000,1.420000,1.380000,1.380000,1.163668,23100
2015-12-02,1.430000,1.435000,1.400000,1.415000,1.193180,24100
2015-12-03,1.410000,1.410000,1.390000,1.390000,1.172100,839800
2015-12-04,1.380000,1.390000,1.370000,1.370000,1.155235,400200
2015-12-07,1.435000,1.435000,1.370000,1.380000,1.163668,14300
2015-12-08,1.410000,1.410000,1.360000,1.365000,1.151019,56300
2015-12-09,1.385000,1.385000,1.360000,1.385000,1.167883,5300
2015-12-10,1.390000,1.390000,1.360000,1.390000,1.172100,500
2015-12-11,1.390000,1.390000,1.390000,1.390000,1.172100,0
2015-12-14,1.430000,1.430000,1.430000,1.430000,1.205829,100
2015-12-15,1.390000,1.390000,1.370000,1.370000,1.155235,10000
2015-12-16,1.420000,1.420000,1.370000,1.385000,1.167883,44600
2015-12-17,1.385000,1.385000,1.385000,1.385000,1.167883,0
2015-12-18,1.350000,1.370000,1.350000,1.350000,1.138370,200100
2015-12-21,1.315000,1.315000,1.315000,1.315000,1.108857,15000
2015-12-22,1.320000,1.350000,1.320000,1.345000,1.134154,47100
2015-12-23,1.345000,1.345000,1.345000,1.345000,1.134154,2600
2015-12-24,1.345000,1.345000,1.345000,1.345000,1.134154,0
2015-12-28,1.305000,1.330000,1.300000,1.330000,1.121505,5100
2015-12-29,1.300000,1.360000,1.300000,1.350000,1.138370,24800
2015-12-30,1.320000,1.320000,1.320000,1.320000,1.113073,1000
2015-12-31,1.350000,1.375000,1.350000,1.350000,1.138370,56500
2016-01-04,1.320000,1.325000,1.280000,1.300000,1.096208,297700
2016-01-05,1.350000,1.350000,1.300000,1.300000,1.096208,91300
2016-01-06,1.320000,1.320000,1.220000,1.295000,1.091992,308300
2016-01-07,1.250000,1.250000,1.100000,1.190000,1.003452,227400
2016-01-08,1.200000,1.220000,1.200000,1.220000,1.028749,1118800
2016-01-11,1.210000,1.250000,1.195000,1.240000,1.045614,404400
2016-01-12,1.255000,1.255000,1.200000,1.200000,1.011884,3600
2016-01-13,1.240000,1.240000,1.240000,1.240000,1.045614,8100
2016-01-14,1.230000,1.265000,1.210000,1.265000,1.066695,399300
2016-01-15,1.240000,1.265000,1.240000,1.265000,1.066695,223900
2016-01-18,1.200000,1.250000,1.200000,1.205000,1.016101,35800
2016-01-19,1.230000,1.250000,1.200000,1.235000,1.041398,79300
2016-01-20,1.230000,1.230000,1.215000,1.230000,1.037182,24500
2016-01-21,1.235000,1.250000,1.215000,1.250000,1.054047,44400
2016-01-22,1.250000,1.250000,1.250000,1.250000,1.054047,0
2016-01-25,1.250000,1.250000,1.250000,1.250000,1.054047,0
2016-01-26,1.200000,1.250000,1.195000,1.250000,1.054047,532100
2016-01-27,1.240000,1.250000,1.200000,1.250000,1.054047,100200
2016-01-28,1.235000,1.235000,1.195000,1.235000,1.041398,268500
2016-01-29,1.210000,1.250000,1.210000,1.235000,1.041398,16100
2016-02-01,1.200000,1.250000,1.200000,1.245000,1.049830,39400
2016-02-02,1.245000,1.245000,1.245000,1.245000,1.049830,0
2016-02-03,1.245000,1.245000,1.245000,1.245000,1.049830,0
2016-02-04,1.300000,1.300000,1.300000,1.300000,1.096208,100
2016-02-05,1.205000,1.270000,1.180000,1.270000,1.070911,8400
2016-02-10,1.200000,1.260000,1.190000,1.245000,1.049830,40600
2016-02-11,1.275000,1.275000,1.190000,1.245000,1.049830,27500
2016-02-12,1.245000,1.245000,1.245000,1.245000,1.049830,0
2016-02-15,1.265000,1.265000,1.200000,1.240000,1.045614,27400
2016-02-16,1.240000,1.245000,1.220000,1.220000,1.028749,10300
2016-02-17,1.240000,1.240000,1.240000,1.240000,1.045614,200
2016-02-18,1.245000,1.265000,1.245000,1.250000,1.054047,146400
2016-02-19,1.250000,1.250000,1.235000,1.250000,1.054047,462600
2016-02-22,1.250000,1.285000,1.250000,1.280000,1.079344,1124500
2016-02-23,1.265000,1.290000,1.260000,1.275000,1.075127,1487900
2016-02-24,1.275000,1.275000,1.275000,1.275000,1.075127,207600
2016-02-25,1.275000,1.275000,1.275000,1.275000,1.075127,0
2016-02-26,1.245000,1.260000,1.235000,1.260000,1.062479,33200
2016-02-29,1.270000,1.270000,1.270000,1.270000,1.070911,1000
2016-03-01,1.255000,1.275000,1.250000,1.275000,1.075127,51400
2016-03-02,1.280000,1.285000,1.250000,1.260000,1.062479,23300
2016-03-03,1.275000,1.275000,1.275000,1.275000,1.075127,200
2016-03-04,1.285000,1.290000,1.250000,1.280000,1.079344,49200
2016-03-07,1.250000,1.275000,1.250000,1.275000,1.075127,74000
2016-03-08,1.250000,1.275000,1.250000,1.275000,1.075127,81600
2016-03-09,1.250000,1.275000,1.250000,1.270000,1.070911,277300
2016-03-10,1.270000,1.270000,1.270000,1.270000,1.070911,0
2016-03-11,1.250000,1.275000,1.245000,1.275000,1.075127,5400
2016-03-14,1.270000,1.270000,1.260000,1.270000,1.070911,70000
2016-03-15,1.240000,1.270000,1.240000,1.270000,1.070911,7000
2016-03-16,1.260000,1.270000,1.260000,1.265000,1.066695,358900
2016-03-17,1.275000,1.295000,1.275000,1.290000,1.087776,89800
2016-03-18,1.295000,1.300000,1.285000,1.295000,1.091992,66500
2016-03-21,1.300000,1.300000,1.270000,1.280000,1.079344,34200
2016-03-22,1.280000,1.300000,1.280000,1.300000,1.096208,423400
2016-03-23,1.300000,1.300000,1.300000,1.300000,1.096208,0
2016-03-24,1.280000,1.300000,1.280000,1.290000,1.087776,11100
2016-03-28,1.290000,1.290000,1.290000,1.290000,1.087776,85900
2016-03-29,1.290000,1.290000,1.290000,1.290000,1.087776,0
2016-03-30,1.295000,1.295000,1.295000,1.295000,1.091992,48200
2016-03-31,1.290000,1.290000,1.290000,1.290000,1.087776,300
2016-04-01,1.290000,1.290000,1.290000,1.290000,1.087776,45000
2016-04-04,1.290000,1.290000,1.275000,1.275000,1.075127,551900
2016-04-05,1.275000,1.275000,1.275000,1.275000,1.075127,0
2016-04-06,1.275000,1.275000,1.275000,1.275000,1.075127,0
2016-04-07,1.250000,1.280000,1.250000,1.255000,1.058263,45000
2016-04-08,1.260000,1.260000,1.260000,1.260000,1.062479,500
2016-04-11,1.260000,1.260000,1.220000,1.225000,1.032965,19500
2016-04-12,1.265000,1.265000,1.225000,1.235000,1.041398,14600
2016-04-13,1.260000,1.270000,1.260000,1.270000,1.070911,13300
2016-04-14,1.260000,1.260000,1.230000,1.240000,1.051826,34500
2016-04-15,1.250000,1.255000,1.195000,1.255000,1.064549,18900
2016-04-18,1.240000,1.240000,1.240000,1.240000,1.051826,500
2016-04-19,1.255000,1.255000,1.210000,1.220000,1.034861,63200
2016-04-20,1.220000,1.230000,1.210000,1.210000,1.026378,77000
2016-04-21,1.215000,1.215000,1.205000,1.210000,1.026378,30400
2016-04-22,1.240000,1.240000,1.240000,1.240000,1.051826,100
2016-04-25,1.245000,1.245000,1.210000,1.240000,1.051826,98700
2016-04-26,1.210000,1.235000,1.200000,1.215000,1.030619,7100
2016-04-27,1.200000,1.210000,1.195000,1.210000,1.026378,29500
2016-04-28,1.210000,1.210000,1.195000,1.195000,1.013654,12200
2016-04-29,1.200000,1.215000,1.170000,1.215000,1.030619,278100
2016-05-03,1.210000,1.210000,1.210000,1.210000,1.026378,1000
2016-05-04,1.205000,1.210000,1.205000,1.210000,1.026378,5200
2016-05-05,1.210000,1.210000,1.200000,1.200000,1.017896,3400
2016-05-06,1.230000,1.230000,1.160000,1.205000,1.027962,29200
2016-05-09,1.180000,1.180000,1.155000,1.160000,0.989573,87200
2016-05-10,1.160000,1.175000,1.150000,1.150000,0.981043,510400
2016-05-11,1.200000,1.200000,1.180000,1.180000,1.006635,700
2016-05-12,1.155000,1.180000,1.155000,1.180000,1.006635,6900
2016-05-13,1.150000,1.235000,1.150000,1.180000,1.006635,6800
2016-05-16,1.155000,1.235000,1.155000,1.210000,1.032227,1400
2016-05-17,1.155000,1.225000,1.155000,1.200000,1.023697,3200
2016-05-18,1.155000,1.225000,1.150000,1.150000,0.981043,10400
2016-05-19,1.150000,1.190000,1.150000,1.190000,1.015166,22600
2016-05-20,1.170000,1.170000,1.170000,1.170000,0.998104,7300
2016-05-23,1.150000,1.155000,1.130000,1.150000,0.981043,72900
2016-05-24,1.105000,1.145000,1.105000,1.125000,0.959716,45200
2016-05-25,1.200000,1.200000,1.130000,1.150000,0.981043,16200
2016-05-26,1.130000,1.200000,1.125000,1.175000,1.002370,36100
