Date,Open,High,Low,Close,Adj Close,Volume
2006-01-16,2.100000,2.100000,1.966666,2.033333,0.132657,6556950
2006-01-17,2.000000,2.000000,1.900000,1.900000,0.123959,609
2006-01-18,1.866666,1.866666,1.800000,1.866666,0.121784,314
2006-01-19,1.866666,2.033333,1.866666,2.000000,0.130483,1133
2006-01-20,2.033333,2.266666,2.033333,2.200000,0.143531,4402
2006-01-23,2.133333,2.133333,2.033333,2.133333,0.139181,1534
2006-01-24,2.166666,2.266666,2.100000,2.200000,0.143531,1463
2006-01-25,2.200000,2.400000,2.200000,2.400000,0.156579,3134
2006-01-26,2.466666,2.600000,2.466666,2.533333,0.165278,2605
2006-01-27,2.566666,2.600000,2.500000,2.533333,0.165278,884
2006-01-30,2.533333,2.533333,2.533333,2.533333,0.165278,0
2006-01-31,2.533333,2.533333,2.533333,2.533333,0.165278,0
2006-02-01,2.533333,2.600000,2.500000,2.500000,0.163103,884
2006-02-02,2.533333,2.766666,2.533333,2.700000,0.176152,3619
2006-02-03,2.666666,2.866666,2.666666,2.833333,0.184850,1910
2006-02-06,2.900000,3.066666,2.900000,3.000000,0.195724,1735
2006-02-07,3.066666,3.066666,2.866666,2.900000,0.189200,1521
2006-02-08,2.900000,2.900000,2.766666,2.766666,0.180501,856
2006-02-09,2.833333,2.866666,2.766666,2.766666,0.180501,572
2006-02-10,2.766666,2.766666,2.566666,2.600000,0.169627,814
2006-02-13,2.600000,2.666666,2.466666,2.466666,0.160929,538
2006-02-14,2.466666,2.566666,2.366666,2.566666,0.167453,673
2006-02-15,2.633333,2.633333,2.433333,2.433333,0.158754,594
2006-02-16,2.433333,2.500000,2.433333,2.500000,0.163103,227
2006-02-17,2.533333,2.733333,2.533333,2.566666,0.167453,1311
2006-02-20,2.600000,2.600000,2.466666,2.500000,0.163103,199
2006-02-21,2.533333,2.600000,2.533333,2.566666,0.167453,346
2006-02-22,2.633333,2.766666,2.600000,2.700000,0.176152,795
2006-02-23,2.733333,2.733333,2.600000,2.666666,0.173977,221
2006-02-24,2.666666,2.766666,2.666666,2.733333,0.178326,597
2006-02-27,2.733333,2.833333,2.700000,2.733333,0.178326,532
2006-02-28,2.666666,2.700000,2.600000,2.666666,0.173977,164
2006-03-01,2.633333,2.766666,2.633333,2.766666,0.180501,902
2006-03-02,2.800000,2.800000,2.633333,2.633333,0.171802,472
2006-03-03,2.666666,2.766666,2.666666,2.733333,0.178326,487
2006-03-06,2.800000,2.866666,2.766666,2.766666,0.180501,1423
2006-03-07,2.800000,2.800000,2.600000,2.666666,0.173977,380
2006-03-08,2.666666,2.666666,2.566666,2.633333,0.171802,259
2006-03-09,2.633333,2.633333,2.533333,2.566666,0.167453,198
2006-03-10,2.533333,2.600000,2.500000,2.500000,0.163103,232
2006-03-13,2.500000,2.533333,2.366666,2.366666,0.154404,665
2006-03-14,2.400000,2.600000,2.400000,2.600000,0.169627,678
2006-03-15,2.600000,2.700000,2.566666,2.633333,0.171802,529
2006-03-16,2.800000,2.866666,2.766666,2.766666,0.180501,2070
2006-03-17,2.800000,2.800000,2.700000,2.733333,0.178326,767
