Date,Open,High,Low,Close,Adj Close,Volume
2007-11-05,2.856636,2.872960,2.791342,2.807665,1.207182,8814211
2007-11-06,2.840313,2.872960,2.758694,2.840313,1.221220,6818332
2007-11-07,2.840313,2.856636,2.775018,2.856636,1.228238,6924926
2007-11-09,2.758694,2.823989,2.742371,2.758694,1.186127,9696367
2007-11-12,2.742371,2.758694,2.709724,2.758694,1.186127,6877143
2007-11-13,2.742371,2.758694,2.709724,2.709724,1.165071,5170415
2007-11-14,2.758694,2.758694,2.677076,2.742371,1.179108,8135440
2007-11-15,2.742371,2.742371,2.628105,2.677076,1.151034,5230451
2007-11-16,2.628105,2.677076,2.611782,2.644429,1.136997,4057918
2007-11-19,2.611782,2.660753,2.595458,2.628105,1.129979,3124303
2007-11-20,2.660753,2.677076,2.562811,2.628105,1.129979,6010914
2007-11-21,2.579134,2.595458,2.546487,2.579134,1.108923,4930273
2007-11-22,2.546487,2.611782,2.530164,2.562811,1.101905,3531075
2007-11-23,2.562811,2.579134,2.530164,2.546487,1.094886,1152929
2007-11-26,2.579134,2.660753,2.562811,2.644429,1.136997,4884940
2007-11-27,2.628105,2.628105,2.562811,2.628105,1.129979,4686455
2007-11-28,2.611782,2.628105,2.546487,2.595458,1.115941,2751837
2007-11-29,2.579134,2.611782,2.562811,2.611782,1.122961,5764645
2007-11-30,2.628105,2.628105,2.562811,2.628105,1.129979,7756848
2007-12-03,2.628105,2.660753,2.562811,2.579134,1.108923,3526174
2007-12-04,2.562811,2.595458,2.530164,2.595458,1.115941,4648473
2007-12-05,2.562811,2.644429,2.546487,2.611782,1.122961,5454666
2007-12-06,2.644429,2.758694,2.644429,2.693400,1.158053,11792713
2007-12-07,2.775018,2.872960,2.726047,2.726047,1.172090,11140898
2007-12-10,2.758694,2.758694,2.677076,2.709724,1.165071,5796501
2007-12-11,2.791342,2.807665,2.677076,2.709724,1.165071,5517152
2007-12-12,2.628105,2.726047,2.628105,2.726047,1.172090,4511248
2007-12-13,2.742371,2.840313,2.660753,2.677076,1.151034,8756625
2007-12-14,2.677076,2.693400,2.595458,2.693400,1.158053,3831253
2007-12-17,2.709724,2.709724,2.579134,2.579134,1.108923,4646022
2007-12-18,2.595458,2.644429,2.530164,2.579134,1.108923,6290264
2007-12-19,2.677076,2.709724,2.611782,2.628105,1.129979,5974158
2007-12-21,2.611782,2.807665,2.611782,2.693400,1.158053,9198929
2007-12-24,2.775018,2.791342,2.709724,2.734209,1.175599,1556025
2007-12-26,2.758694,2.815827,2.709724,2.783180,1.196655,3339941
2007-12-27,2.815827,2.823989,2.775018,2.791342,1.200164,4500222
2007-12-28,2.791342,2.815827,2.668914,2.815827,1.210692,6601469
2007-12-31,2.652591,2.872960,2.652591,2.823989,1.214200,9648583
2008-01-02,2.799504,2.815827,2.726047,2.815827,1.210692,2984628
