Date,Open,High,Low,Close,Adj Close,Volume
2007-08-17,3.255812,3.548835,3.158138,3.255812,1.994584,4374
2007-08-20,5.173551,5.621225,5.173551,5.521792,3.382775,1645057
2007-08-21,3.581393,3.581393,3.288370,3.386044,2.074368,309
2007-08-22,3.386044,3.451161,3.386044,3.418603,2.094314,115
2007-08-23,3.483719,3.516277,3.386044,3.386044,2.074368,317278
2007-08-24,3.386044,3.418603,3.288370,3.418603,2.094314,387
2007-08-27,3.483719,3.711626,3.483719,3.613951,2.213988,855
2007-08-28,3.613951,3.679068,3.548835,3.581393,2.194043,185360
2007-08-29,3.418603,3.581393,3.418603,3.516277,2.154151,99
2007-08-30,3.613951,3.613951,3.516277,3.516277,2.154151,68
2007-08-31,3.451161,3.548835,3.451161,3.548835,2.174097,77
2007-09-03,3.548835,3.548835,3.451161,3.483719,2.134205,148
2007-09-04,3.483719,3.483719,3.483719,3.483719,2.134205,19
2007-09-05,3.516277,3.613951,3.516277,3.581393,2.194043,171232
2007-09-06,3.581393,3.939533,3.581393,3.809300,2.333664,2244
2007-09-07,3.809300,3.874416,3.776742,3.841858,2.353609,409
2007-09-10,3.646509,3.809300,3.646509,3.776742,2.313718,215921
2007-09-11,3.841858,3.841858,3.711626,3.744184,2.293772,109
2007-09-12,3.776742,4.134881,3.776742,4.037207,2.473285,1963
2007-09-13,4.102323,4.232556,4.004649,4.134881,2.533122,1181
2007-09-14,4.199998,4.330230,4.199998,4.199998,2.573014,755
2007-09-17,4.232556,4.232556,3.972091,4.037207,2.473285,181
2007-09-18,4.004649,4.199998,3.972091,4.134881,2.533122,331
2007-09-19,4.265114,4.265114,4.102323,4.134881,2.533122,207
2007-09-20,4.102323,4.102323,3.939533,3.939533,2.413447,109189
2007-09-21,4.037207,4.037207,3.972091,4.004649,2.453339,60
2007-09-24,4.037207,4.330230,4.037207,4.232556,2.592960,610
2007-09-25,4.330230,4.851160,4.330230,4.786044,2.932039,1247000
2007-09-26,4.981393,5.274416,4.981393,5.144183,3.151443,2299
2007-09-27,5.209299,5.274416,5.013951,5.079067,3.111552,706
2007-09-28,5.111625,6.837206,5.079067,6.316276,3.869494,3723033
2007-10-01,6.967438,9.246507,6.967438,8.855809,5.425269,3382873
2007-10-02,9.376739,9.637204,8.530228,8.986042,5.505054,1721
2007-10-03,8.986042,9.051158,7.944182,8.399996,5.146029,1694
2007-10-04,8.334879,8.855809,8.269763,8.530228,5.225811,1506
2007-10-05,8.660461,10.613948,8.465112,10.613948,6.502346,4426084
2007-10-08,11.786041,12.893017,11.265111,12.306971,7.539529,5644
2007-10-09,11.916273,12.567436,11.460459,12.176738,7.459745,2722
2007-10-10,12.372087,13.088366,12.046506,12.762784,7.818771,3427
2007-10-11,12.632552,14.716272,12.567436,14.325574,8.776173,5816059
2007-10-12,14.390690,17.060457,14.390690,16.279062,9.972922,6845
2007-10-15,17.125572,18.167433,11.720924,12.697668,7.778879,9670090
2007-10-16,11.590692,12.827901,9.637204,10.027902,6.143321,8214693
2007-10-17,9.767437,10.874413,8.725577,10.874413,6.661913,7576
2007-10-18,11.265111,11.720924,10.613948,10.939529,6.701805,4689
2007-10-19,10.809297,10.874413,10.158134,10.353483,6.342781,1429
2007-10-22,8.465112,9.116274,7.879066,8.204647,5.026353,2634
2007-10-23,8.595344,8.725577,8.269763,8.334879,5.106136,1598
2007-10-24,8.530228,8.530228,6.772089,6.772089,4.148736,2895129
2007-10-25,6.772089,9.246507,6.511624,9.246507,5.664619,9297372
2007-10-26,9.441856,10.158134,8.660461,8.986042,5.505054,7886
2007-10-29,9.376739,9.832553,9.181391,9.376739,5.744402,2486
2007-10-30,9.572088,9.572088,8.920926,9.116274,5.584836,1057800
2007-10-31,8.986042,9.441856,8.920926,9.246507,5.664619,913
2007-11-01,9.506972,9.962786,9.311623,9.376739,5.744402,2557
2007-11-02,8.986042,9.311623,8.920926,9.181391,5.624728,979
2007-11-05,9.181391,9.246507,8.269763,8.269763,5.066245,1025
2007-11-06,8.465112,8.986042,8.399996,8.855809,5.425269,1136
2007-11-07,9.051158,9.116274,8.465112,8.530228,5.225811,446
2007-11-09,8.334879,8.595344,8.204647,8.269763,5.066245,731
2007-11-12,7.944182,8.009298,7.553484,7.683717,4.707219,851
2007-11-13,7.618601,8.009298,7.618601,7.748833,4.747111,673
2007-11-14,8.139531,8.139531,7.553484,7.683717,4.707219,511
2007-11-15,7.748833,7.748833,7.032554,7.162787,4.388086,764
2007-11-16,6.967438,7.358136,6.772089,7.097671,4.348195,605
2007-11-19,7.162787,7.293019,6.511624,6.641857,4.068952,574
2007-11-20,6.413950,6.772089,6.055811,6.446508,3.949277,846
2007-11-21,6.511624,6.511624,5.958136,5.958136,3.650089,738
2007-11-22,5.860462,6.023253,5.632555,5.697671,3.490523,776
2007-11-23,5.762788,5.990694,5.730229,5.860462,3.590252,620
2007-11-26,5.958136,6.055811,5.860462,5.925578,3.630144,470696
2007-11-27,5.730229,5.827904,5.632555,5.730229,3.510468,300
2007-11-28,5.827904,5.827904,5.274416,5.274416,3.231227,584
2007-11-29,5.469764,5.665113,5.372090,5.404648,3.311010,732
2007-11-30,5.437206,5.502323,5.274416,5.372090,3.291065,290
2007-12-03,5.469764,5.469764,5.079067,5.111625,3.131498,355
2007-12-04,4.948834,7.813949,4.948834,7.748833,4.747111,6405006
2007-12-05,7.748833,7.748833,7.748833,7.748833,4.747111,0
2007-12-06,7.162787,8.790693,6.511624,7.683717,4.707219,4342694
2007-12-07,7.944182,8.139531,7.227903,7.358136,4.507761,726546
2007-12-10,7.488368,7.944182,7.032554,7.553484,4.627436,916821
2007-12-11,7.748833,8.139531,7.618601,7.813949,4.787002,1392125
2007-12-12,7.553484,7.748833,7.488368,7.748833,4.747111,538421
2007-12-13,7.618601,7.683717,7.032554,7.097671,4.348195,695986
2007-12-14,7.293019,7.358136,6.837206,6.837206,4.188627,595703
2007-12-17,6.641857,6.902322,6.218601,6.251159,3.829601,618893
2007-12-18,6.186043,6.837206,5.925578,6.837206,4.188627,1173746
2007-12-19,6.837206,7.032554,6.446508,6.479066,3.969223,899468
2007-12-21,6.576741,6.837206,6.511624,6.641857,4.068952,610446
2007-12-24,6.837206,6.837206,6.511624,6.641857,4.068952,211007
2007-12-26,6.641857,7.553484,6.641857,7.358136,4.507761,2011633
2007-12-27,7.293019,7.683717,7.097671,7.227903,4.427977,1673622
2007-12-28,6.967438,7.358136,6.967438,7.358136,4.507761,824218
2007-12-31,7.358136,7.618601,7.293019,7.488368,4.587544,808861
2008-01-02,7.423252,7.748833,7.293019,7.488368,4.587544,1443418
2008-01-03,7.293019,7.423252,7.227903,7.227903,4.427977,350603
2008-01-04,7.293019,7.618601,7.227903,7.358136,4.507761,939396
2008-01-07,7.162787,7.293019,6.902322,6.967438,4.268410,753882
2008-01-08,7.032554,7.162787,6.706973,6.772089,4.148736,542721
2008-01-09,6.576741,6.902322,6.479066,6.706973,4.108844,778914
2008-01-10,6.837206,6.837206,6.446508,6.479066,3.969223,477146
2008-01-11,6.511624,6.641857,6.088369,6.186043,3.789711,554853
2008-01-14,6.186043,6.186043,5.730229,5.827904,3.570306,382853
2008-01-15,5.925578,6.088369,5.437206,5.437206,3.330956,378553
2008-01-16,5.274416,5.437206,5.013951,5.111625,3.131498,495728
