Date,Open,High,Low,Close,Adj Close,Volume
2018-04-25,4.675000,4.900000,4.675000,4.900000,4.176928,3200
2018-04-26,4.850000,4.850000,4.850000,4.850000,4.134306,1800
2018-04-30,5.250000,5.250000,5.000000,5.000000,4.262171,2040
2018-05-02,5.000000,5.000000,5.000000,5.000000,4.262171,100
2018-05-03,4.675000,4.675000,4.675000,4.675000,3.985131,40
2018-05-14,4.675000,4.675000,4.675000,4.675000,3.985131,10000
2018-07-05,4.750000,4.850000,4.750000,4.850000,4.134306,9800
2018-07-16,4.800000,4.800000,4.800000,4.800000,4.091685,6000
2018-07-17,4.775000,4.775000,4.775000,4.775000,4.070374,2100
2018-07-18,4.750000,4.750000,4.750000,4.750000,4.049063,10000
2018-08-02,4.750000,4.750000,4.750000,4.750000,4.049063,23120
2018-08-06,4.725000,4.725000,4.725000,4.725000,4.027752,30400
2018-08-13,4.700000,4.700000,4.700000,4.700000,4.006441,6000
2018-08-14,4.675000,4.675000,4.650000,4.650000,3.963819,15000
2018-08-16,4.975000,4.975000,4.975000,4.975000,4.240860,80
2018-08-23,4.800000,4.800000,4.800000,4.800000,4.091685,10000
2018-08-24,4.800000,4.800000,4.800000,4.800000,4.091685,400
2018-08-28,4.875000,4.875000,4.875000,4.875000,4.155617,20
2018-09-18,4.425000,4.425000,4.425000,4.425000,3.772022,20
2018-10-24,4.425000,4.425000,4.425000,4.425000,3.772022,980
2018-10-25,4.400000,4.400000,4.375000,4.375000,3.729400,800
2018-10-31,4.350000,4.350000,4.125000,4.150000,3.537602,17760
2018-11-01,4.175000,4.250000,4.175000,4.225000,3.601535,6000
2018-11-05,4.350000,4.400000,4.250000,4.400000,3.750711,240
2018-11-07,4.350000,4.350000,4.350000,4.350000,3.708089,1000
2018-11-08,4.350000,4.350000,4.350000,4.350000,3.708089,1800
2018-11-09,4.350000,4.350000,4.350000,4.350000,3.708089,2000
2018-11-12,4.350000,4.350000,4.350000,4.350000,3.708089,120
2018-11-13,4.300000,4.300000,3.975000,4.025000,3.431048,5580
2018-11-14,4.050000,4.050000,4.050000,4.050000,3.452359,2000
2018-11-15,4.000000,4.025000,4.000000,4.025000,3.431048,6100
2018-11-16,4.100000,4.100000,4.025000,4.025000,3.431048,720
2018-11-19,4.025000,4.050000,4.025000,4.050000,3.452359,4900
2018-11-20,4.075000,4.075000,4.075000,4.075000,3.473670,60
2018-11-22,3.900000,3.900000,3.550000,3.550000,3.026142,27640
2018-11-23,3.550000,3.550000,3.550000,3.550000,3.026142,960
2018-11-26,3.500000,3.500000,3.475000,3.475000,2.962209,6400
2018-11-28,3.500000,3.500000,3.425000,3.450000,2.940898,22760
2018-11-29,3.500000,3.500000,3.450000,3.450000,2.940898,19960
2018-11-30,3.450000,3.450000,3.425000,3.425000,2.919588,40060
2018-12-03,3.400000,3.450000,3.375000,3.375000,2.876966,33940
2018-12-04,3.375000,3.375000,3.300000,3.325000,2.834344,78660
2018-12-05,3.250000,3.250000,3.200000,3.225000,2.749101,10240
2018-12-06,3.250000,3.250000,3.250000,3.250000,2.770411,23600
2018-12-07,3.325000,3.325000,3.225000,3.225000,2.749101,28000
2018-12-10,3.250000,3.250000,3.250000,3.250000,2.770411,16580
2018-12-11,3.300000,3.300000,3.300000,3.300000,2.813033,2600
2018-12-28,3.400000,3.400000,3.400000,3.400000,2.898277,40
2018-12-31,3.450000,3.450000,3.450000,3.450000,2.940898,2000
2019-01-02,3.450000,3.450000,3.400000,3.425000,2.919588,15400
2019-01-03,3.450000,3.500000,3.450000,3.500000,2.983520,35400
2019-01-04,3.450000,3.575000,3.450000,3.550000,3.026142,44000
2019-01-09,3.650000,3.650000,3.650000,3.650000,3.111385,240
2019-01-10,3.725000,3.800000,3.725000,3.775000,3.217940,3240
2019-01-11,3.725000,3.775000,3.725000,3.775000,3.217940,7240
2019-01-14,3.800000,3.850000,3.800000,3.800000,3.239250,5140
2019-01-15,3.800000,3.800000,3.800000,3.800000,3.239250,5400
2019-01-16,3.850000,3.850000,3.850000,3.850000,3.281872,3000
2019-01-17,3.850000,3.850000,3.850000,3.850000,3.281872,1000
2019-01-18,3.850000,3.850000,3.850000,3.850000,3.281872,22000
2019-01-21,3.825000,3.825000,3.800000,3.800000,3.239250,5000
2019-01-22,3.800000,3.800000,3.800000,3.800000,3.239250,1180
2019-01-23,3.900000,3.900000,3.900000,3.900000,3.324494,540
2019-01-29,3.650000,3.650000,3.575000,3.575000,3.047453,53520
2019-01-30,3.625000,3.625000,3.625000,3.625000,3.090074,600
