Date,Open,High,Low,Close,Adj Close,Volume
2007-11-07,3.329305,3.446123,3.329305,3.416918,1.290666,193806
2007-11-09,3.358509,3.358509,3.300100,3.329305,1.257572,243798
2007-11-12,3.300100,3.329305,3.270896,3.300100,1.246541,64716
2007-11-13,3.300100,3.358509,3.300100,3.329305,1.257572,76358
2007-11-14,3.300100,3.387714,3.212487,3.212487,1.213447,1053264
2007-11-15,3.300100,3.358509,3.270896,3.270896,1.235509,178397
2007-11-16,3.270896,3.329305,3.270896,3.329305,1.257572,206817
2007-11-19,3.270896,3.300100,3.241692,3.300100,1.246541,99642
2007-11-20,3.212487,3.241692,3.008056,3.212487,1.213447,19859
2007-11-21,3.212487,3.329305,3.212487,3.329305,1.257572,124981
2007-11-22,3.183283,3.270896,3.154078,3.183283,1.202415,26023
2007-11-23,3.183283,3.183283,3.037260,3.183283,1.202415,94506
2007-11-26,3.241692,3.329305,3.212487,3.329305,1.257572,161961
2007-11-27,3.329305,3.329305,3.212487,3.329305,1.257572,152374
2007-11-28,3.212487,3.329305,3.212487,3.270896,1.235509,88685
2007-11-29,3.270896,3.300100,3.270896,3.270896,1.235509,115735
2007-11-30,3.300100,3.300100,3.300100,3.300100,1.246541,16435
2007-12-03,3.300100,3.300100,3.241692,3.300100,1.246541,18147
2007-12-04,3.329305,3.329305,3.300100,3.300100,1.246541,1712
2007-12-05,3.300100,3.329305,3.300100,3.300100,1.246541,0
2007-12-06,3.358509,3.358509,3.300100,3.300100,1.246541,57183
2007-12-07,3.358509,3.416918,3.329305,3.416918,1.290666,214351
2007-12-10,3.358509,3.358509,3.329305,3.329305,1.257572,18147
2007-12-11,3.270896,3.387714,3.270896,3.358509,1.268603,103066
2007-12-12,3.270896,3.358509,3.270896,3.329305,1.257572,60607
2007-12-13,3.329305,3.358509,3.329305,3.358509,1.268603,102724
2007-12-14,3.358509,3.358509,3.329305,3.358509,1.268603,39377
2007-12-17,3.300100,3.329305,3.270896,3.329305,1.257572,23968
2007-12-18,3.416918,3.416918,3.095669,3.241692,1.224478,1112844
2007-12-19,3.183283,3.241692,3.183283,3.212487,1.213447,34926
2007-12-21,3.183283,3.212487,3.183283,3.183283,1.202415,0
2007-12-24,3.154078,3.154078,3.124874,3.154078,1.191384,25338
2007-12-26,3.183283,3.183283,3.183283,3.183283,1.202415,8902
2007-12-27,3.183283,3.183283,3.154078,3.183283,1.202415,472531
2007-12-28,3.183283,3.183283,3.154078,3.154078,1.191384,89369
2007-12-31,3.183283,3.212487,3.183283,3.212487,1.213447,52731
2008-01-02,3.154078,3.154078,3.154078,3.154078,1.191384,34926
2008-01-03,3.154078,3.154078,3.124874,3.124874,1.180353,8217
2008-01-04,3.183283,3.212487,3.154078,3.212487,1.213447,49649
2008-01-07,3.124874,3.183283,3.124874,3.124874,1.180353,0
2008-01-08,3.154078,3.183283,3.154078,3.154078,1.191384,114366
2008-01-09,3.095669,3.095669,2.949647,3.008056,1.136227,266055
2008-01-10,3.008056,3.008056,2.978852,3.008056,1.136227,36295
2008-01-11,3.008056,3.008056,2.978852,2.978852,1.125196,53758
2008-01-14,2.949647,2.949647,2.891238,2.891238,1.092102,178055
2008-01-15,2.905841,2.949647,2.832829,2.832829,1.070039,409869
2008-01-16,2.803625,2.803625,2.716012,2.745216,1.036945,207502
2008-01-17,2.716012,2.759818,2.686807,2.716012,1.025914,505402
2008-01-18,2.657603,2.672205,2.613796,2.628398,0.992820,230102
2008-01-21,2.599194,2.628398,2.599194,2.628398,0.992820,531083
2008-01-22,2.540785,2.628398,2.453172,2.569990,0.970757,165043
2008-01-23,2.569990,2.701410,2.569990,2.599194,0.981788,1983260
2008-01-24,2.657603,2.701410,2.657603,2.701410,1.020398,217090
2008-01-25,2.716012,2.832829,2.716012,2.832829,1.070039,3081
2008-01-28,2.803625,2.832829,2.628398,2.686807,1.014883,33898
2008-01-29,2.686807,2.716012,2.686807,2.716012,1.025914,6505
2008-01-30,2.672205,2.701410,2.628398,2.628398,0.992820,147237
2008-01-31,2.628398,2.657603,2.613796,2.628398,0.992820,52389
2008-02-01,2.628398,2.759818,2.613796,2.759818,1.042461,387612
2008-02-04,2.716012,2.730614,2.716012,2.716012,1.025914,222568
2008-02-05,2.686807,2.686807,2.686807,2.686807,1.014883,75331
2008-02-06,2.672205,2.686807,2.672205,2.672205,1.009367,17463
2008-02-11,2.672205,2.672205,2.672205,2.672205,1.009367,342413
2008-02-12,2.701410,2.701410,2.686807,2.701410,1.020398,40404
2008-02-13,2.672205,2.701410,2.672205,2.686807,1.014883,44513
2008-02-14,2.759818,2.774421,2.701410,2.701410,1.020398,95875
2008-02-15,2.716012,2.759818,2.716012,2.759818,1.042461,208872
2008-02-18,2.745216,2.832829,2.730614,2.832829,1.070039,533480
2008-02-19,2.832829,2.832829,2.818227,2.818227,1.064524,74303
2008-02-20,2.862034,2.905841,2.862034,2.891238,1.092102,423908
2008-02-21,2.862034,2.891238,2.862034,2.891238,1.099403,2175354
2008-02-22,2.876636,2.891238,2.876636,2.876636,1.093850,704345
2008-02-25,2.949647,2.949647,2.891238,2.920443,1.110508,231129
2008-02-26,2.920443,2.949647,2.920443,2.949647,1.121613,210242
2008-02-27,2.920443,2.949647,2.920443,2.949647,1.121613,760843
2008-02-28,2.949647,2.949647,2.920443,2.949647,1.121613,154771
2008-02-29,2.920443,3.504531,2.905841,2.949647,1.121613,241401
2008-03-03,2.920443,3.066465,2.920443,2.920443,1.110508,231471
2008-03-04,3.037260,3.037260,2.920443,2.920443,1.110508,97245
2008-03-05,2.920443,2.920443,2.920443,2.920443,1.110508,296187
2008-03-06,2.949647,3.066465,2.949647,2.978852,1.132718,179424
2008-03-07,2.978852,3.037260,2.978852,3.037260,1.154928,976564
2008-03-10,2.978852,3.008056,2.978852,2.978852,1.132718,191409
2008-03-11,3.008056,3.008056,2.978852,2.978852,1.132718,133198
2008-03-12,3.008056,3.037260,2.978852,2.978852,1.132718,390694
2008-03-13,2.978852,3.008056,2.978852,3.008056,1.143823,232498
2008-03-14,3.066465,3.066465,2.920443,2.978852,1.132718,2066467
2008-03-17,2.978852,2.978852,2.978852,2.978852,1.132718,467737
2008-03-18,2.978852,3.008056,2.745216,2.978852,1.132718,796454
2008-03-19,2.978852,2.978852,2.891238,2.891238,1.099403,98272
2008-03-20,2.832829,2.832829,2.818227,2.818227,1.071640,155798
2008-03-24,2.920443,2.920443,2.745216,2.818227,1.071640,30474
