Date,Open,High,Low,Close,Adj Close,Volume
2007-07-05,0.277500,0.297500,0.262500,0.265000,0.231672,136724
2007-07-06,0.262500,0.262500,0.252500,0.255000,0.222930,27192
2007-07-09,0.257500,0.262500,0.252500,0.262500,0.229487,22400
2007-07-10,0.262500,0.262500,0.255000,0.255000,0.222930,4998
2007-07-11,0.255000,0.255000,0.250000,0.252500,0.220745,6134
2007-07-12,0.252500,0.255000,0.235000,0.237500,0.207631,19470
2007-07-13,0.240000,0.250000,0.232500,0.242500,0.212002,18260
2007-07-16,0.242500,0.242500,0.232500,0.235000,0.205445,5796
2007-07-17,0.235000,0.247500,0.232500,0.240000,0.209817,7884
2007-07-18,0.240000,0.242500,0.220000,0.220000,0.192332,8026
2007-07-19,0.222500,0.230000,0.215000,0.215000,0.187961,6054
2007-07-20,0.220000,0.225000,0.217500,0.217500,0.190146,4534
2007-07-23,0.217500,0.235000,0.217500,0.227500,0.198889,6816
2007-07-24,0.230000,0.237500,0.227500,0.227500,0.198889,5526
2007-07-25,0.222500,0.225000,0.220000,0.220000,0.192332,4318
2007-07-26,0.222500,0.230000,0.220000,0.222500,0.194517,6160
2007-07-27,0.220000,0.220000,0.210000,0.215000,0.187961,3556
2007-07-30,0.210000,0.220000,0.210000,0.217500,0.190146,3790
2007-07-31,0.220000,0.222500,0.207500,0.210000,0.183589,5658
2007-08-01,0.210000,0.210000,0.190000,0.195000,0.170476,6874
2007-08-02,0.197500,0.200000,0.195000,0.195000,0.170476,4820
2007-08-03,0.197500,0.205000,0.195000,0.205000,0.179218,6010
2007-08-06,0.195000,0.195000,0.190000,0.195000,0.170476,1756
2007-08-07,0.197500,0.197500,0.192500,0.192500,0.168290,3014
2007-08-08,0.195000,0.200000,0.195000,0.197500,0.172662,2074
2007-08-10,0.197500,0.197500,0.192500,0.197500,0.172662,1932
2007-08-13,0.197500,0.197500,0.197500,0.197500,0.172662,0
2007-08-14,0.195000,0.195000,0.192500,0.195000,0.170476,972
2007-08-15,0.192500,0.192500,0.182500,0.182500,0.159548,1016
2007-08-16,0.180000,0.180000,0.165000,0.165000,0.144249,1100
2007-08-17,0.162500,0.162500,0.135000,0.140000,0.122393,2830
2007-08-20,0.150000,0.165000,0.145000,0.150000,0.131135,9496000
2007-08-21,0.150000,0.155000,0.145000,0.147500,0.128950,2864
2007-08-22,0.145000,0.152500,0.142500,0.152500,0.133321,1688
2007-08-23,0.155000,0.155000,0.152500,0.155000,0.135507,2104
2007-08-24,0.150000,0.157500,0.150000,0.157500,0.137692,704
2007-08-27,0.155000,0.162500,0.155000,0.160000,0.139878,1836
2007-08-28,0.157500,0.160000,0.157500,0.157500,0.137692,520000
2007-08-29,0.152500,0.155000,0.150000,0.155000,0.135507,316
2007-08-30,0.157500,0.160000,0.157500,0.157500,0.137692,758
2007-08-31,0.152500,0.160000,0.152500,0.160000,0.139878,1040
2007-09-03,0.160000,0.160000,0.157500,0.160000,0.139878,698
2007-09-04,0.157500,0.157500,0.155000,0.155000,0.135507,1852
2007-09-05,0.165000,0.172500,0.160000,0.162500,0.142063,7254000
2007-09-06,0.162500,0.177500,0.160000,0.177500,0.155177,5028
2007-09-07,0.187500,0.190000,0.182500,0.187500,0.163919,4418
2007-09-10,0.180000,0.182500,0.177500,0.180000,0.157362,1310000
2007-09-11,0.182500,0.185000,0.177500,0.177500,0.155177,1038
2007-09-12,0.180000,0.190000,0.180000,0.187500,0.163919,2380
2007-09-13,0.190000,0.192500,0.185000,0.185000,0.161734,1646000
2007-09-14,0.190000,0.190000,0.185000,0.185000,0.161734,572
2007-09-17,0.180000,0.187500,0.177500,0.180000,0.157362,430
2007-09-18,0.180000,0.187500,0.177500,0.187500,0.163919,548
2007-09-19,0.190000,0.190000,0.177500,0.177500,0.155177,532000
