Date,Open,High,Low,Close,Adj Close,Volume
2013-11-13,8.487500,8.574107,7.967857,8.011160,8.011160,6878993
2013-11-14,8.011160,8.011160,7.794642,7.924553,7.924553,991142
2013-11-15,8.011160,8.011160,7.881250,7.924553,7.924553,135208
2013-11-18,7.967857,7.967857,7.448214,7.751339,7.751339,1007769
2013-11-19,7.664732,7.794642,7.578125,7.621428,7.621428,245822
2013-11-20,7.621428,7.751339,7.491517,7.621428,7.621428,332074
2013-11-21,7.578125,7.708035,7.361607,7.361607,7.361607,519010
2013-11-22,7.404910,7.621428,7.361607,7.621428,7.621428,192131
2013-11-25,7.621428,7.708035,7.534821,7.621428,7.621428,330457
2013-11-26,7.578125,7.621428,7.534821,7.578125,7.578125,118235
2013-11-27,7.534821,7.664732,7.534821,7.621428,7.621428,74243
2013-11-28,7.664732,7.708035,7.621428,7.621428,7.621428,50226
2013-11-29,7.664732,7.837946,7.621428,7.794642,7.794642,283579
2013-12-02,7.751339,7.794642,7.751339,7.751339,7.751339,9006
2013-12-03,7.708035,7.794642,7.664732,7.794642,7.794642,37063
2013-12-04,7.708035,7.837946,7.708035,7.751339,7.751339,61657
2013-12-05,7.794642,7.794642,7.708035,7.708035,7.708035,91447
2013-12-06,7.708035,7.794642,7.708035,7.708035,7.708035,49995
2013-12-09,7.708035,7.794642,7.708035,7.794642,7.794642,49880
2013-12-10,7.751339,7.751339,7.621428,7.621428,7.621428,73204
2013-12-11,7.621428,7.621428,7.404910,7.448214,7.448214,59579
2013-12-12,7.491517,7.491517,7.491517,7.491517,7.491517,16049
2013-12-13,7.448214,7.448214,7.404910,7.404910,7.404910,56461
2013-12-16,7.404910,7.448214,7.404910,7.448214,7.448214,7158
2013-12-17,7.491517,7.491517,7.404910,7.404910,7.404910,71125
2013-12-18,7.448214,7.448214,7.404910,7.448214,7.448214,55999
2013-12-19,7.491517,7.491517,7.361607,7.361607,7.361607,73896
2013-12-20,7.404910,7.448214,7.361607,7.404910,7.404910,69740
2013-12-23,7.404910,7.404910,7.361607,7.361607,7.361607,3348
2013-12-24,7.361607,7.361607,7.318303,7.318303,7.318303,2309
2013-12-26,7.361607,7.448214,7.275000,7.404910,7.404910,112577
2013-12-27,7.404910,7.404910,7.318303,7.318303,7.318303,15703
2013-12-30,7.448214,7.664732,7.448214,7.664732,7.664732,20668
2013-12-31,7.664732,7.708035,7.621428,7.664732,7.664732,49072
2014-01-02,7.664732,7.664732,7.578125,7.578125,7.578125,11661
2014-01-03,7.664732,7.924553,7.664732,7.924553,7.924553,231967
2014-01-06,7.924553,8.011160,7.881250,8.011160,8.011160,165575
2014-01-07,8.054464,8.270982,7.924553,8.227678,8.227678,377797
2014-01-08,8.184375,8.530803,8.184375,8.400892,8.400892,669228
2014-01-09,8.444196,8.877232,8.444196,8.617410,8.617410,1251513
2014-01-10,8.617410,8.617410,8.400892,8.444196,8.444196,174812
2014-01-13,8.444196,8.660714,8.444196,8.444196,8.444196,134169
2014-01-14,8.444196,8.444196,8.357589,8.444196,8.444196,118119
2014-01-15,8.400892,8.660714,8.400892,8.617410,8.617410,164189
2014-01-16,8.660714,8.747321,8.227678,8.270982,8.270982,421905
2014-01-17,8.314285,8.400892,8.314285,8.357589,8.357589,45146
2014-01-20,8.444196,8.444196,8.141071,8.141071,8.141071,56461
2014-01-21,8.227678,8.314285,8.184375,8.227678,8.227678,8544
2014-01-22,8.227678,8.227678,8.011160,8.011160,8.011160,116041
2014-01-23,8.054464,8.227678,8.054464,8.184375,8.184375,66738
2014-01-24,8.184375,8.184375,8.054464,8.054464,8.054464,83826
2014-01-27,7.881250,8.054464,7.837946,7.924553,7.924553,74243
2014-01-28,7.881250,7.967857,7.881250,7.967857,7.967857,89946
2014-01-29,7.967857,8.314285,7.967857,8.227678,8.227678,105995
2014-01-30,8.011160,8.141071,7.967857,8.054464,8.054464,12701
2014-02-03,8.097767,8.097767,8.011160,8.011160,8.011160,16049
2014-02-04,7.924553,7.967857,7.924553,7.967857,7.967857,10622
2014-02-05,7.967857,8.184375,7.967857,8.054464,8.054464,37641
2014-02-06,8.054464,8.227678,8.054464,8.097767,8.097767,79670
2014-02-07,8.141071,8.314285,8.054464,8.227678,8.227678,39950
2014-02-10,8.270982,8.357589,8.270982,8.314285,8.314285,54268
2014-02-11,8.314285,8.314285,8.314285,8.314285,8.314285,21707
2014-02-12,8.270982,8.487500,8.270982,8.400892,8.400892,198482
2014-02-13,8.444196,8.444196,8.314285,8.357589,8.357589,234391
2014-02-14,8.357589,8.357589,8.054464,8.184375,8.184375,430103
2014-02-17,8.227678,8.314285,8.227678,8.270982,8.270982,51727
2014-02-18,8.400892,8.400892,8.227678,8.227678,8.227678,92832
2014-02-19,8.270982,8.270982,8.184375,8.227678,8.227678,28635
2014-02-20,8.357589,8.357589,8.141071,8.184375,8.184375,36371
2014-02-21,8.270982,8.270982,8.227678,8.270982,8.270982,57270
2014-02-24,8.270982,8.270982,8.184375,8.227678,8.227678,73781
2014-02-25,8.314285,8.487500,8.270982,8.400892,8.400892,142597
2014-02-26,8.444196,8.574107,8.357589,8.400892,8.400892,111307
2014-02-27,8.400892,8.400892,8.400892,8.400892,8.400892,46647
2014-02-28,8.357589,8.487500,8.227678,8.444196,8.444196,49072
2014-03-03,8.227678,8.444196,8.227678,8.357589,8.357589,42721
2014-03-04,8.357589,8.487500,8.270982,8.314285,8.314285,68008
2014-03-05,8.314285,8.400892,8.270982,8.270982,8.270982,149987
2014-03-06,8.314285,8.487500,8.314285,8.487500,8.487500,69855
2014-03-07,8.444196,8.487500,8.400892,8.400892,8.400892,98837
2014-03-10,8.400892,8.444196,8.400892,8.400892,8.400892,55307
2014-03-11,8.400892,8.444196,8.400892,8.444196,8.444196,53228
2014-03-12,8.400892,8.400892,8.184375,8.357589,8.357589,220305
2014-03-13,8.400892,8.617410,8.357589,8.574107,8.574107,379991
2014-03-14,8.574107,8.747321,8.444196,8.530803,8.530803,286696
2014-03-17,8.487500,8.487500,8.400892,8.444196,8.444196,16049
2014-03-18,8.444196,8.530803,8.400892,8.530803,8.530803,39835
2014-03-19,8.487500,8.617410,8.487500,8.617410,8.617410,121698
2014-03-20,8.617410,8.617410,8.530803,8.530803,8.530803,28173
2014-03-21,8.574107,9.050446,8.574107,8.920535,8.920535,454350
2014-03-24,8.920535,9.353571,8.920535,9.266964,9.266964,414515
2014-03-25,9.353571,9.353571,9.137053,9.266964,9.266964,98259
2014-03-26,9.223660,9.223660,9.093750,9.093750,9.093750,19051
2014-03-27,9.093750,9.223660,9.050446,9.180357,9.180357,20090
2014-03-28,9.223660,9.440178,9.093750,9.093750,9.093750,209105
2014-03-31,9.180357,9.266964,9.093750,9.137053,9.137053,29443
2014-04-01,9.310267,9.526785,9.266964,9.526785,9.526785,261410
2014-04-02,9.526785,9.656696,9.310267,9.353571,9.353571,233929
2014-04-03,9.440178,9.570089,9.440178,9.570089,9.570089,63158
2014-04-04,9.613392,9.613392,9.483482,9.526785,9.526785,129781
2014-04-07,9.570089,9.570089,9.353571,9.440178,9.440178,43298
2014-04-08,9.440178,9.613392,9.396875,9.526785,9.526785,163150
2014-04-09,9.570089,9.656696,9.440178,9.483482,9.483482,95257
2014-04-10,9.483482,9.483482,9.223660,9.353571,9.353571,151488
2014-04-11,9.310267,9.310267,8.920535,9.007142,9.007142,184511
2014-04-14,9.007142,9.007142,8.877232,8.920535,8.920535,63043
2014-04-15,8.920535,9.093750,8.877232,9.093750,9.093750,65929
2014-04-16,9.137053,9.353571,9.137053,9.266964,9.266964,82903
2014-04-17,9.440178,9.440178,9.310267,9.396875,9.396875,81517
2014-04-21,9.396875,9.396875,9.180357,9.223660,9.223660,56461
2014-04-22,9.223660,9.266964,9.180357,9.223660,9.223660,28288
2014-04-23,9.266964,9.310267,9.180357,9.223660,9.223660,26556
2014-04-24,9.223660,9.310267,9.180357,9.180357,9.180357,39719
2014-04-25,9.223660,9.266964,9.180357,9.223660,9.223660,25863
2014-04-28,9.180357,9.223660,8.963839,8.963839,8.963839,94218
2014-04-29,9.007142,9.223660,8.877232,9.223660,9.223660,81055
2014-04-30,9.180357,9.266964,9.007142,9.223660,9.223660,32791
2014-05-02,9.310267,9.310267,9.137053,9.137053,9.137053,13971
2014-05-05,9.137053,9.310267,9.093750,9.266964,9.266964,25748
2014-05-06,9.353571,9.353571,9.223660,9.353571,9.353571,14317
2014-05-07,9.266964,9.353571,9.223660,9.353571,9.353571,25517
2014-05-08,9.396875,9.396875,9.180357,9.266964,9.266964,32560
2014-05-09,9.223660,9.266964,9.093750,9.180357,9.180357,20552
2014-05-12,9.266964,9.396875,9.137053,9.266964,9.266964,35101
2014-05-14,9.353571,9.353571,9.223660,9.310267,9.310267,18589
2014-05-15,9.526785,10.306250,9.440178,10.176339,10.176339,540486
2014-05-16,10.176339,10.176339,9.959821,10.089732,10.089732,74589
2014-05-19,10.046428,10.609375,10.046428,10.219642,10.219642,294663
2014-05-20,10.219642,10.479464,10.219642,10.219642,10.219642,147216
2014-05-21,10.219642,10.392857,10.219642,10.219642,10.219642,50226
2014-05-22,10.262946,10.262946,9.959821,10.046428,10.046428,39257
2014-05-23,10.089732,10.262946,10.089732,10.219642,10.219642,23208
2014-05-26,10.306250,10.479464,10.219642,10.479464,10.479464,75513
2014-05-27,10.392857,10.522767,10.262946,10.349553,10.349553,94911
2014-05-28,10.436160,10.695982,10.349553,10.695982,10.695982,265682
2014-05-29,10.652678,10.869196,10.522767,10.566071,10.566071,181740
2014-05-30,10.652678,11.042410,10.479464,10.566071,10.566071,468783
2014-06-02,10.609375,10.695982,10.436160,10.609375,10.609375,144907
2014-06-03,10.566071,10.566071,10.436160,10.479464,10.479464,58886
2014-06-04,10.479464,10.522767,10.219642,10.262946,10.262946,112923
2014-06-05,10.349553,10.349553,10.176339,10.306250,10.306250,28404
2014-06-06,10.349553,10.695982,10.306250,10.695982,10.695982,124816
2014-06-09,10.695982,11.215625,10.695982,11.085714,11.085714,701789
2014-06-10,11.085714,11.215625,10.739285,10.999107,10.999107,52189
2014-06-11,10.955803,11.129017,10.955803,11.042410,11.042410,48841
2014-06-12,11.172321,11.215625,11.085714,11.129017,11.129017,44107
2014-06-13,11.085714,11.691964,11.042410,11.648660,11.648660,116964
2014-06-16,11.691964,11.691964,11.475446,11.562053,11.562053,31637
2014-06-17,11.562053,11.821875,11.432142,11.518750,11.518750,145138
2014-06-18,11.518750,11.518750,11.302232,11.302232,11.302232,85905
2014-06-19,11.432142,11.605357,11.302232,11.518750,11.518750,107035
2014-06-20,11.518750,11.605357,11.345535,11.388839,11.388839,122738
2014-06-23,11.345535,11.432142,11.085714,11.129017,11.129017,40527
2014-06-24,11.258928,11.302232,11.172321,11.172321,11.172321,27595
2014-06-25,11.215625,11.691964,11.215625,11.605357,11.605357,171348
2014-06-26,11.648660,11.778571,11.562053,11.648660,11.648660,78630
2014-06-27,11.605357,11.691964,11.518750,11.518750,11.518750,6465
2014-06-30,11.562053,11.605357,11.432142,11.518750,11.518750,33946
2014-07-01,11.432142,11.605357,11.432142,11.605357,11.605357,24131
2014-07-02,11.518750,11.691964,11.475446,11.691964,11.691964,60503
2014-07-03,11.518750,11.951785,11.518750,11.908482,11.908482,54268
2014-07-04,11.865178,12.038392,11.691964,11.735267,11.735267,89946
2014-07-07,11.778571,12.038392,11.778571,12.038392,12.038392,115579
2014-07-08,11.995089,12.254910,11.995089,12.168303,12.168303,108997
2014-07-09,12.254910,12.428125,12.125000,12.428125,12.428125,94449
2014-07-10,12.471428,12.601339,12.471428,12.471428,12.471428,69162
2014-07-11,12.471428,12.471428,12.384821,12.384821,12.384821,42606
2014-07-14,12.298214,12.471428,12.298214,12.384821,12.384821,65006
2014-07-15,12.471428,12.471428,12.211607,12.211607,12.211607,23208
2014-07-16,12.211607,12.731250,12.211607,12.601339,12.601339,76437
2014-07-17,12.514732,12.774553,12.514732,12.687946,12.687946,65352
2014-07-18,12.601339,12.644642,12.254910,12.384821,12.384821,140635
2014-07-21,12.384821,12.471428,12.298214,12.471428,12.471428,112461
2014-07-22,12.428125,12.428125,12.341517,12.428125,12.428125,50226
2014-07-23,12.384821,12.428125,11.951785,11.995089,11.995089,219727
2014-07-24,11.995089,12.081696,11.951785,12.081696,12.081696,78169
2014-07-25,12.081696,12.254910,12.081696,12.168303,12.168303,34639
2014-07-29,12.081696,12.211607,12.081696,12.125000,12.125000,33484
2014-07-30,12.125000,12.168303,11.821875,11.865178,11.865178,78169
2014-07-31,11.865178,12.038392,11.865178,12.038392,12.038392,35793
2014-08-01,11.995089,11.995089,11.691964,11.821875,11.821875,25517
2014-08-04,11.821875,11.821875,11.432142,11.518750,11.518750,54960
2014-08-05,11.562053,11.865178,11.562053,11.821875,11.821875,25979
2014-08-06,11.691964,11.735267,11.648660,11.691964,11.691964,32560
