Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,1.617761,1.665909,1.598502,1.656279,0.964245,3708383
2000-01-04,1.656279,1.656279,1.559984,1.559984,0.908184,2093559
2000-01-05,1.550354,1.550354,1.444429,1.502207,0.874548,2665757
2000-01-06,1.511836,1.540725,1.444429,1.492577,0.868942,1394667
2000-01-07,1.502207,1.521466,1.482948,1.502207,0.874548,738353
2000-01-10,1.521466,1.540725,1.521466,1.531095,0.891366,1097664
2000-01-11,1.531095,1.540725,1.463688,1.463688,0.852123,1098703
2000-01-12,1.454059,1.492577,1.425170,1.473318,0.857729,1329244
2000-01-13,1.482948,1.492577,1.434800,1.434800,0.835305,1811095
2000-01-14,1.434800,1.454059,1.415541,1.434800,0.835305,3429034
2000-01-17,1.434800,1.492577,1.425170,1.434800,0.835305,1637670
2000-01-18,1.434800,1.434800,1.377023,1.386652,0.807275,5028281
2000-01-19,1.386652,1.415541,1.367393,1.405911,0.818487,1838095
2000-01-20,1.405911,1.454059,1.367393,1.386652,0.807275,7636923
2000-01-21,1.396282,1.415541,1.386652,1.405911,0.818487,3564035
2000-01-24,1.396282,1.415541,1.367393,1.367393,0.796063,919047
2000-01-25,1.367393,1.367393,1.338505,1.357764,0.790457,1702055
2000-01-26,1.377023,1.396282,1.357764,1.367393,0.796063,1119472
2000-01-27,1.367393,1.386652,1.338505,1.348134,0.784850,2043712
2000-01-28,1.357764,1.367393,1.338505,1.348134,0.784850,3726037
2000-01-31,1.338505,1.338505,1.319245,1.319245,0.768032,1680247
2000-02-01,1.338505,1.348134,1.338505,1.348134,0.784850,805854
2000-02-02,1.357764,1.357764,1.328875,1.338505,0.779245,1319897
2000-02-03,1.357764,1.367393,1.309616,1.309616,0.762426,2143406
2000-02-04,1.328875,1.338505,1.309616,1.338505,0.779245,648006
2000-02-07,1.338505,1.338505,1.338505,1.338505,0.779245,0
2000-02-08,1.338505,1.338505,1.280727,1.309616,0.762426,1865095
2000-02-09,1.319245,1.454059,1.309616,1.328875,0.773638,6380371
2000-02-10,1.319245,1.492577,1.319245,1.492577,0.868942,9567442
2000-02-11,1.502207,1.531095,1.425170,1.444429,0.840911,11144881
2000-02-14,1.425170,1.434800,1.357764,1.367393,0.796063,2055136
2000-02-15,1.396282,1.396282,1.328875,1.348134,0.784850,1475668
2000-02-16,1.348134,1.396282,1.328875,1.386652,0.807275,3261840
2000-02-17,1.396282,1.396282,1.338505,1.357764,0.790457,1557708
2000-02-18,1.348134,1.348134,1.309616,1.309616,0.762426,2249330
2000-02-21,1.309616,1.309616,1.271098,1.280727,0.745608,2953414
2000-02-22,1.299986,1.319245,1.271098,1.280727,0.745608,3436303
