Date,Open,High,Low,Close,Adj Close,Volume
2022-01-05,3.780000,3.780000,3.780000,3.780000,3.780000,0
2022-01-06,3.700000,3.700000,3.700000,3.700000,3.700000,0
2022-01-07,3.750000,3.750000,3.750000,3.750000,3.750000,100
2022-03-08,3.910000,3.910000,3.700000,3.700000,3.700000,3000
2022-04-04,3.650000,3.650000,3.440000,3.590000,3.590000,1300
2022-04-06,3.420000,3.420000,3.420000,3.420000,3.420000,100
2022-04-20,3.600000,3.600000,3.600000,3.600000,3.600000,2000
2022-09-01,3.260000,3.270000,3.260000,3.270000,3.270000,13000
2022-09-07,3.170000,3.170000,3.170000,3.170000,3.170000,2500
2022-10-12,2.620000,2.620000,2.620000,2.620000,2.620000,5000
2022-10-13,2.330000,2.330000,2.330000,2.330000,2.330000,100
2022-11-14,2.630000,2.630000,2.630000,2.630000,2.630000,100
2022-12-07,2.760000,2.760000,2.760000,2.760000,2.760000,700
2022-12-08,2.710000,2.710000,2.710000,2.710000,2.710000,700
2022-12-12,2.480000,2.480000,2.480000,2.480000,2.480000,100
2022-12-14,2.780000,2.780000,2.780000,2.780000,2.780000,100
2023-02-15,2.480000,2.480000,2.480000,2.480000,2.480000,100
2023-02-28,2.180000,2.180000,2.180000,2.180000,2.180000,1100
2023-04-04,2.480000,2.480000,2.480000,2.480000,2.480000,100
2023-08-14,2.400000,2.400000,2.320000,2.320000,2.320000,1600
2023-08-24,2.540000,2.540000,2.540000,2.540000,2.540000,1500
2024-01-09,2.560000,2.560000,2.560000,2.560000,2.560000,100
