Year,SG,US,China,Average
2023,5.80,2.58,7.13,5.17
2022,4.25,2.50,6.42,4.39
2021,3.46,1.59,5.90,3.65
2020,4.37,2.85,5.64,4.29
2019,4.34,2.41,4.80,3.85
2018,3.65,2.57,4.75,3.66
2017,2.70,1.77,3.23,2.57
2016,3.64,1.83,5.32,3.60
2015,3.58,1.95,5.41,3.65
2014,2.36,1.67,4.72,2.92
2013,2.67,1.53,5.34,3.18
2012,3.33,1.65,4.47,3.15
2011,3.55,1.57,4.92,3.35
2010,2.72,0.43,3.65,2.27
2009,3.26,0.82,1.84,1.97
2008,6.71,7.98,6.13,6.94
2007,2.51,4.08,2.27,2.96
2006,3.03,3.04,2.17,2.75
2005,5.58,3.29,3.01,3.96
2004,2.92,3.07,4.31,3.43
2003,3.25,2.97,2.81,3.01
